cohort,method,biomarker,age_R2,F,p,n
HC,Original,T2w_CSA,0.00036525860123248766,0.0772498788175542,0.7813698481985871,188
HC,Original,GM_CSA_mm2,0.002297160275179233,0.47446705253692956,0.49180219270295633,188
HC,Original,MTR,0.0036966043317340214,0.6864849299887192,0.4084302152485586,188
HC,Original,MTsat,0.004893066616838082,0.9109016444888103,0.34112071292976215,188
HC,Original,FA,2.094605603042421e-05,0.0038948001927626807,0.950305032811466,188
HC,Original,MD,0.0003006783823755743,0.055741028811739514,0.8136198391936594,188
HC,Original,AD,1.161492556356336e-06,0.00021489716798952417,0.988319729855236,188
HC,Original,RD,0.000817054771371728,0.1518293380613381,0.6972414706154041,188
HC,ComBat,T2w_CSA,3.9342688767929346e-05,0.008288818308113252,0.9275569669173896,188
HC,ComBat,GM_CSA_mm2,1.4622810885267512e-05,0.0030110127057988863,0.9562990984238238,188
HC,ComBat,MTR,1.217753271554045e-07,2.255699634896191e-05,0.9962156423565693,188
HC,ComBat,MTsat,9.415345402385977e-05,0.01751544345826145,0.8948545177660345,188
HC,ComBat,FA,0.0011090079554570975,0.2082417510164127,0.6486842789622289,188
HC,ComBat,MD,0.02087860738031766,3.980113639244532,0.047508332993796844,188
HC,ComBat,AD,0.03461570334522934,6.675376966555103,0.010546845220895945,188
HC,ComBat,RD,0.014095445781793448,2.6687761838188804,0.10403535098173304,188
HC,ComBat-joint,T2w_CSA,3.9740518392727964e-05,0.008371693072294066,0.9271967210181502,188
HC,ComBat-joint,GM_CSA_mm2,1.9840767472412146e-05,0.0040845435276827555,0.9491105472880843,188
HC,ComBat-joint,MTR,0.00018229946226999694,0.03376125461164156,0.8544168119400534,188
HC,ComBat-joint,MTsat,3.2862554602330896e-05,0.006114019772085519,0.9377596757673071,188
HC,ComBat-joint,FA,0.0008786358693321228,0.16494029939940705,0.6851176158509079,188
HC,ComBat-joint,MD,0.02060576640134759,3.928704512161438,0.04894915224643216,188
HC,ComBat-joint,AD,0.033045538943617725,6.359475520683637,0.012519416075263301,188
HC,ComBat-joint,RD,0.014604156120581413,2.7708528283678304,0.09768774320572506,188
HC,CovBat,T2w_CSA,4.997713538235082e-06,0.0010601889346852074,0.9740601377646263,188
HC,CovBat,GM_CSA_mm2,3.692531600818505e-06,0.0007674024484561655,0.9779296649411888,188
HC,CovBat,MTR,1.3321430476498364e-06,0.0002467166746283964,0.9874848955910634,188
HC,CovBat,MTsat,1.2011631674857526e-06,0.00022344391342870307,0.9880897416001567,188
HC,CovBat,FA,0.00035740345872714574,0.0669671821031513,0.7960925492359224,188
HC,CovBat,MD,0.02212427061080191,4.225321741866951,0.04122998824282847,188
HC,CovBat,AD,0.039278714353942146,7.615284966803646,0.006369615356356224,188
HC,CovBat,RD,0.014614501657948642,2.7718354635908296,0.09762874827113885,188
HC,RELIEF,T2w_CSA,4.296084978294701e-05,0.009152955805617731,0.9238853618948959,188
HC,RELIEF,GM_CSA_mm2,2.2165349175207183e-05,0.004624203924872822,0.9458578802085006,188
HC,RELIEF,MTR,0.00018430852627215888,0.03413372650905321,0.8536250333418752,188
HC,RELIEF,MTsat,3.3932525769664323e-05,0.006314250860971536,0.9367508368255756,188
HC,RELIEF,FA,0.0008878571256074608,0.1666970946937366,0.683536208291621,188
HC,RELIEF,MD,0.020670238955568854,3.941374199961263,0.048589797627075514,188
HC,RELIEF,AD,0.034033020566008876,6.55739878915054,0.01124288092842094,188
HC,RELIEF,RD,0.014742517715206405,2.797782002603692,0.09608505994723161,188
HC,LME,T2w_CSA,2.619700679717951e-07,5.5261310891594144e-05,0.9940767542730066,188
HC,LME,GM_CSA_mm2,1.4362368064846365e-05,0.0029634449736316527,0.9566453188309993,188
HC,LME,MTR,0.0053401650377118415,0.9933217337303321,0.3202336753410644,188
HC,LME,MTsat,4.8711001496615225e-05,0.009083969675368361,0.9241718682324247,188
HC,LME,FA,0.0006805001032779145,0.12784558640850882,0.721083930535704,188
HC,LME,MD,0.020941755642012838,4.002386615181862,0.046898173273256336,188
HC,LME,AD,0.03060641494921945,5.870091264497647,0.016364038026933803,188
HC,LME,RD,0.014219599721541964,2.704149305364152,0.1017856502244071,188
ALL,Original,T2w_CSA,0.0018586876428936527,0.5068196931774019,0.4772017469061608,246
ALL,Original,GM_CSA_mm2,0.0021656006332053668,0.5674928044199304,0.45198617331030283,246
ALL,Original,MTR,0.0024773071397378166,0.6034828640022765,0.43800777361647525,246
ALL,Original,MTsat,0.0054797882516270935,1.34314766094043,0.24761724793216064,246
ALL,Original,FA,0.0035472172928501244,0.8722981807651631,0.3512469844580952,246
ALL,Original,MD,0.0032432302686441483,0.7975934361744679,0.37269745488329054,246
ALL,Original,AD,0.00013157285276255148,0.03209889234314563,0.8579600784195995,246
ALL,Original,RD,0.007052999457286657,1.7449483295965234,0.18775563917590746,246
ALL,ComBat,T2w_CSA,0.0003891855819172507,0.10703308716693205,0.7438291900349672,246
ALL,ComBat,GM_CSA_mm2,0.0001936748581203851,0.05131187502922601,0.8209864680562212,246
ALL,ComBat,MTR,0.0001924464081656252,0.04680407960328664,0.8289022826906575,246
ALL,ComBat,MTsat,0.0001479172125433692,0.0360803992860975,0.8495081316749904,246
ALL,ComBat,FA,0.007247540586264423,1.7938146073580468,0.18171343379124502,246
ALL,ComBat,MD,0.03828335842287278,9.861826189154193,0.0018964436076102406,246
ALL,ComBat,AD,0.04799418952178691,12.502443109534148,0.00048655941585083257,246
ALL,ComBat,RD,0.02898344838166611,7.365744842251645,0.007123988687410044,246
ALL,ComBat-joint,T2w_CSA,0.00039602048385756206,0.10880054743538488,0.7417980155888292,246
ALL,ComBat-joint,GM_CSA_mm2,0.00019376361881262572,0.051318840205395906,0.8209745258648914,246
ALL,ComBat-joint,MTR,0.00034458777678769703,0.08381177353145719,0.7724436212559748,246
ALL,ComBat-joint,MTsat,0.0001966471371513956,0.04798364718207171,0.826793650060376,246
ALL,ComBat-joint,FA,0.007117710214010198,1.7618832545338634,0.18563549892186457,246
ALL,ComBat-joint,MD,0.038436074902964634,9.906785513694386,0.0018524573602978513,246
ALL,ComBat-joint,AD,0.046619219540479984,12.123581815820884,0.0005902019941724756,246
ALL,ComBat-joint,RD,0.03073837408838065,7.835781543500369,0.005533454317016383,246
ALL,CovBat,T2w_CSA,0.0005346361374906072,0.14812184913892468,0.7006733174709604,246
ALL,CovBat,GM_CSA_mm2,0.0001415336451118243,0.037816713417481364,0.8459741208580236,246
ALL,CovBat,MTR,0.0001225772692472482,0.029807188046691423,0.8630721577793742,246
ALL,CovBat,MTsat,0.0003803755851699009,0.09283136829027164,0.7608688316603627,246
ALL,CovBat,FA,0.005745598861423895,1.4212688343020823,0.23435758992780426,246
ALL,CovBat,MD,0.03998438734770793,10.339260116971818,0.0014789911730119193,246
ALL,CovBat,AD,0.05283299112578599,13.864544862047342,0.00024424197760762676,246
ALL,CovBat,RD,0.030696631952589204,7.835263123607958,0.005534991103368958,246
ALL,RELIEF,T2w_CSA,0.00043252645446012483,0.12027797291273043,0.7290333435331515,246
ALL,RELIEF,GM_CSA_mm2,0.00021854061968551441,0.058554443465771405,0.8089995514556386,246
ALL,RELIEF,MTR,0.00034655276569883764,0.08429014628019384,0.7718131933254039,246
ALL,RELIEF,MTsat,0.00020218777337333016,0.04934138346226427,0.8243998770125248,246
ALL,RELIEF,FA,0.00716997122977292,1.7750629307158543,0.18400482102725346,246
ALL,RELIEF,MD,0.038553876466979387,9.93899716785269,0.0018215846194442288,246
ALL,RELIEF,AD,0.04802047081560701,12.514385650729757,0.00048361167210189275,246
ALL,RELIEF,RD,0.0310359271032824,7.9153914629357125,0.005302585495459874,246
ALL,LME,T2w_CSA,0.0005456726379078347,0.14927250668509934,0.6995696283921108,246
ALL,LME,GM_CSA_mm2,0.0001924973588397494,0.051069730616540396,0.8214021695143342,246
ALL,LME,MTR,0.00156028568790334,0.3797433790901988,0.5383174351408159,246
ALL,LME,MTsat,0.00016126969838092808,0.03941650201755625,0.842791804286431,246
ALL,LME,FA,0.006738913222217091,1.667981768113412,0.19775618561080494,246
ALL,LME,MD,0.04003498890407342,10.351064204635197,0.0014699514723214083,246
ALL,LME,AD,0.04417531110568085,11.458116758229794,0.00082984987433276,246
ALL,LME,RD,0.0314081663415251,8.020533760316301,0.0050127417638528085,246
