method,metric,point,ci_lo_basic,ci_hi_basic,ci_lo_percentile,ci_hi_percentile,covered_by_basic,n_boot
Original,eta2,0.2794503150096474,0.20965027235095252,0.3219810424343446,0.2369195875849502,0.3492503576683423,True,1000
Original,perma_r2,0.3146850645088856,0.24611630309170585,0.3585361949970984,0.27083393402067285,0.3832538259260654,True,1000
Original,r_prepost,1.0,1.0,1.0,1.0,1.0,True,1000
Original,age_r2,0.002591412392236467,0.0,0.0036004271645782744,0.0015823976198946592,0.015491406822861604,True,1000
ComBat,eta2,0.00037524379421119777,0.0,-0.002338563332582726,0.003089050921005122,0.0257792979141802,False,1000
ComBat,perma_r2,0.0022812016033581534,0.0,0.0005722668836384394,0.0039901363230778674,0.03283323298768875,False,1000
ComBat,r_prepost,0.8166713539684504,0.781017382310102,0.8728706687032887,0.7604720392336121,0.8523253256267987,True,1000
ComBat,age_r2,0.00593659322844084,0.0,0.010079747951748598,0.0017934385051330804,0.030890445469348545,True,1000
ComBat-joint,eta2,0.0004911358348020826,0.0,-0.0023299631066051995,0.003312234776209365,0.025527837731096837,False,1000
ComBat-joint,perma_r2,0.0004911358361264844,0.0,-0.002329963103930951,0.00331223477618392,0.025527837719110272,False,1000
ComBat-joint,r_prepost,0.8062628949118782,0.7746558466516361,0.855594428119688,0.7569313617040684,0.8378699431721203,True,1000
ComBat-joint,age_r2,0.00867610507970204,0.0,0.01512616909592538,0.0022260410634786986,0.030120068095429504,True,1000
CovBat,eta2,0.00025379608875427203,0.0,-0.0021579219176460457,0.00266551409515459,0.025608483881867185,False,1000
CovBat,perma_r2,0.0002537960892171471,0.0,-0.0021579219233412374,0.0026655141017755315,0.025608483945453918,False,1000
CovBat,r_prepost,0.7821155951588403,0.7488293345457974,0.8335004737590902,0.7307307165585905,0.8154018557718833,True,1000
CovBat,age_r2,0.009548264204096754,0.0,0.016682239832946463,0.0024142885752470463,0.03243803616816589,True,1000
RELIEF,eta2,0.0004360476164651854,0.0,-0.002035685574297885,0.0029077808072282556,0.02594036332618464,False,1000
RELIEF,perma_r2,0.00043604761773582414,0.0,-0.002035685582161378,0.002907780817633026,0.02594036336087315,False,1000
RELIEF,r_prepost,0.7906589159538204,0.7583503598395721,0.8411984029758333,0.7401194289318076,0.8229674720680688,True,1000
RELIEF,age_r2,0.008827125201673947,0.0,0.015473908562349339,0.0021803418409985544,0.030692648451329758,True,1000
LME,eta2,0.0003070069009021106,0.0,-0.002164261692917816,0.002778275494722037,0.026640094495231165,False,1000
LME,perma_r2,0.0023055551586142827,0.0,0.00057392012873686,0.004037190188491705,0.032881321913222475,False,1000
LME,r_prepost,0.8400816073561328,0.808093524574094,0.8927934119479449,0.7873698027643207,0.8720696901381716,True,1000
LME,age_r2,0.006490573179408543,0.0,0.010413428617403507,0.0025677177414135787,0.029818888652307033,True,1000
