cohort,method_A,method_B,r_A,r_B,diff,ci_lo,ci_hi,p_boot,significant_0.05
HC,ComBat,ComBat-joint,0.7894570965484986,0.8062628949118782,-0.016805798363379587,-0.020295685791177787,-0.014022996945845433,0.0005,True
HC,ComBat,CovBat,0.7894570965484986,0.7821155951588403,0.007341501389658278,-0.0004084838189885198,0.014980420539791102,0.07,False
HC,ComBat,RELIEF,0.7894570965484986,0.7906589159538204,-0.0012018194053218245,-0.007474853647517191,0.005214461701279692,0.694,False
HC,ComBat,LME,0.7894570965484986,0.8162137942818017,-0.026756697733303136,-0.03340440153437714,-0.019689078898058595,0.0005,True
HC,ComBat-joint,CovBat,0.8062628949118782,0.7821155951588403,0.024147299753037865,0.01684872673254604,0.03207537159876696,0.0005,True
HC,ComBat-joint,RELIEF,0.8062628949118782,0.7906589159538204,0.015603978958057763,0.010042625990417367,0.022183938791024243,0.0005,True
HC,ComBat-joint,LME,0.8062628949118782,0.8162137942818017,-0.00995089936992355,-0.014599698836659892,-0.003904656688407443,0.003,True
HC,CovBat,RELIEF,0.7821155951588403,0.7906589159538204,-0.008543320794980103,-0.014537216271537368,-0.002834913970215298,0.002,True
HC,CovBat,LME,0.7821155951588403,0.8162137942818017,-0.034098199122961415,-0.0431325430369512,-0.024792907931235033,0.0005,True
HC,RELIEF,LME,0.7906589159538204,0.8162137942818017,-0.025554878327981312,-0.03270086427927861,-0.017571884874000177,0.0005,True
ALL,ComBat,ComBat-joint,0.7742391985519139,0.7870043218947016,-0.012765123342787676,-0.015139728889669746,-0.010806032702591343,0.0005,True
ALL,ComBat,CovBat,0.7742391985519139,0.7628405776960356,0.011398620855878283,0.004982817819925753,0.017639620907112546,0.001,True
ALL,ComBat,RELIEF,0.7742391985519139,0.7719258752233249,0.002313323328589023,-0.002650411384124285,0.007622770085326887,0.403,False
ALL,ComBat,LME,0.7742391985519139,0.8007423162120648,-0.0265031176601509,-0.033410613376887444,-0.019898136339550856,0.0005,True
ALL,ComBat-joint,CovBat,0.7870043218947016,0.7628405776960356,0.02416374419866596,0.017796874498560985,0.030916428354875975,0.0005,True
ALL,ComBat-joint,RELIEF,0.7870043218947016,0.7719258752233249,0.0150784466713767,0.01044966433746455,0.020380972021308525,0.0005,True
ALL,ComBat-joint,LME,0.7870043218947016,0.8007423162120648,-0.013737994317363222,-0.018824525080390446,-0.008127031336221932,0.0005,True
ALL,CovBat,RELIEF,0.7628405776960356,0.7719258752233249,-0.00908529752728926,-0.014581156895565916,-0.0036066803568285655,0.001,True
ALL,CovBat,LME,0.7628405776960356,0.8007423162120648,-0.03790173851602918,-0.04640312008807484,-0.0290132328683055,0.0005,True
ALL,RELIEF,LME,0.7719258752233249,0.8007423162120648,-0.028816440988739922,-0.035288060588499204,-0.02164621160070438,0.0005,True
