cohort,method,r_mean,ci_lo,ci_hi
HC,ComBat,0.7894570965484986,0.7407723270721753,0.8250703091521379
HC,ComBat-joint,0.8062628949118782,0.7604169774254703,0.838919848647421
HC,CovBat,0.7821155951588403,0.7346690853776756,0.8161749340733923
HC,RELIEF,0.7906589159538204,0.7433622272936669,0.8244219923293119
HC,LME,0.8162137942818017,0.770725234931147,0.84814684184612
ALL,ComBat,0.7742391985519139,0.727740881526159,0.8073118213548882
ALL,ComBat-joint,0.7870043218947016,0.7425663011381296,0.8184305088981587
ALL,CovBat,0.7628405776960356,0.7168746890377522,0.7948283145701716
ALL,RELIEF,0.7719258752233249,0.7262858923345017,0.8038329626166535
ALL,LME,0.8007423162120648,0.7574431456291311,0.8311626914302002
