cohort,method,biomarker,eta2_pre,eta2_post,status
HC,ComBat,T2w_CSA,0.05296825543532277,0.000556225184332267,ok
HC,ComBat,GM_CSA_mm2,0.17609760055733575,0.0005181016173926537,ok
HC,ComBat,MTR,0.20523486118563375,0.00010400231494535766,ok
HC,ComBat,MTsat,0.3353145772105536,4.867014329239093e-05,ok
HC,ComBat,FA,0.29022929596431996,0.00013038003326458657,ok
HC,ComBat,MD,0.46456444285507087,0.0006591402143556668,ok
HC,ComBat,AD,0.7003492296445732,0.0007370478237841082,ok
HC,ComBat,RD,0.2927222569275149,0.0005177281620808939,ok
HC,LME/FE,T2w_CSA,0.05296825543532277,0.004194349095599623,ok-LME
HC,LME/FE,GM_CSA_mm2,0.17609760055733575,0.0005087722873988226,FE-fallback(ValueError)
HC,LME/FE,MTR,0.20523486118563375,0.0001011598145196557,FE-fallback(ValueError)
HC,LME/FE,MTsat,0.3353145772105536,4.77635992284938e-05,FE-fallback(ValueError)
HC,LME/FE,FA,0.29022929596431996,0.0001282236581555448,FE-fallback(ValueError)
HC,LME/FE,MD,0.46456444285507087,0.0003212408523573312,ok-LME
HC,LME/FE,AD,0.7003492296445732,0.0005328236007988053,ok-LME
HC,LME/FE,RD,0.2927222569275149,0.0005069951245171439,FE-fallback(ValueError)
ALL,ComBat,T2w_CSA,0.044064294293710914,3.678449131276642e-05,ok
ALL,ComBat,GM_CSA_mm2,0.16734870424450965,2.090690993650742e-05,ok
ALL,ComBat,MTR,0.24276593150470108,2.1006575963508473e-05,ok
ALL,ComBat,MTsat,0.3596295727688294,5.249115461624329e-07,ok
ALL,ComBat,FA,0.31156985495553435,0.00011092594389625872,ok
ALL,ComBat,MD,0.5063899023843573,0.0006139521768367281,ok
ALL,ComBat,AD,0.736249213219337,0.0006636975845304835,ok
ALL,ComBat,RD,0.31988710416923594,0.00048015662850900594,ok
ALL,LME/FE,T2w_CSA,0.044064294293710914,3.652790132080809e-05,FE-fallback(ValueError)
ALL,LME/FE,GM_CSA_mm2,0.16734870424450965,2.0623324150629958e-05,FE-fallback(ValueError)
ALL,LME/FE,MTR,0.24276593150470108,2.0710028199112428e-05,FE-fallback(ValueError)
ALL,LME/FE,MTsat,0.3596295727688294,0.0001530446167863689,ok-LME
ALL,LME/FE,FA,0.31156985495553435,0.00035474992455367083,ok-LME
ALL,LME/FE,MD,0.5063899023843573,0.000288451416781396,ok-LME
ALL,LME/FE,AD,0.736249213219337,0.0004676501664470855,ok-LME
ALL,LME/FE,RD,0.31988710416923594,0.0004719368570755455,FE-fallback(ValueError)
