cohort,method,biomarker,eta2_pre,eta2_post,reduction_pct
HC,ComBat,T2w_CSA,0.05296825543532277,0.000556225184332267,98.94988955222162
HC,ComBat,GM_CSA_mm2,0.17609760055733575,0.0005181016173926537,99.70578723630935
HC,ComBat,MTR,0.20523486118563375,0.00010400231494535763,99.94932521972898
HC,ComBat,MTsat,0.3353145772105536,4.867014329238837e-05,99.9854852289163
HC,ComBat,FA,0.29022929596431996,0.00013038003326458657,99.95507688745501
HC,ComBat,MD,0.46456444285507087,0.0006591402143549577,99.85811651655816
HC,ComBat,AD,0.7003492296445732,0.0007370478237852671,99.89475995794851
HC,ComBat,RD,0.2927222569275149,0.0005177281620802903,99.82313331158535
HC,ComBat-joint,T2w_CSA,0.05296825543532277,0.0006080715732154422,98.85200755014873
HC,ComBat-joint,GM_CSA_mm2,0.17609760055733575,0.0011243202077243933,99.3615357596208
HC,ComBat-joint,MTR,0.20523486118563375,0.0006846259339885041,99.66641830241049
HC,ComBat-joint,MTsat,0.3353145772105536,0.00053624972147993,99.84007563108621
HC,ComBat-joint,FA,0.29022929596431996,0.00036301100345263997,99.87492268750937
HC,ComBat-joint,MD,0.46456444285507087,0.00013461101770116077,99.97102425298117
HC,ComBat-joint,AD,0.7003492296445732,0.00028370153285420767,99.9594914193026
HC,ComBat-joint,RD,0.2927222569275149,0.00019449568800038237,99.93355623516919
HC,CovBat,T2w_CSA,0.05296825543532277,0.00037236702011409964,99.29699965185982
HC,CovBat,GM_CSA_mm2,0.17609760055733575,0.00021063901525197572,99.8803850736266
HC,CovBat,MTR,0.20523486118563375,0.00042238801625727514,99.79419285114763
HC,CovBat,MTsat,0.3353145772105536,0.00015528549472538055,99.95368960812345
HC,CovBat,FA,0.29022929596431996,0.00040243793796490405,99.86133793398501
HC,CovBat,MD,0.46456444285507087,9.420715737050793e-05,99.97972140166571
HC,CovBat,AD,0.7003492296445732,0.00022692386250114353,99.96759847046361
HC,CovBat,RD,0.2927222569275149,0.00014612020584888982,99.95008230416688
HC,RELIEF,T2w_CSA,0.05296825543532277,0.0012999548378395196,97.54578506096574
HC,RELIEF,GM_CSA_mm2,0.17609760055733575,0.0005454683874267581,99.690246553218
HC,RELIEF,MTR,0.20523486118563375,0.0006205256378795838,99.69765095739835
HC,RELIEF,MTsat,0.3353145772105536,0.00031451050010363363,99.90620434616353
HC,RELIEF,FA,0.29022929596431996,0.0002221914834348985,99.92344277902868
HC,RELIEF,MD,0.46456444285507087,7.79120789910442e-05,99.9832290051059
HC,RELIEF,AD,0.7003492296445732,0.00035468326158065146,99.94935622878309
