cohort,method,eta2_mean,eta2_median,eta2_min,eta2_max,age_R2_mean,sex_R2_mean,r_pre_post_mean,r_pre_post_min,eta2_reduction_pct
ALL,ComBat,0.00024349440281643737,7.385521760451256e-05,5.249115461622356e-07,0.0006636975845309008,0.015428970121667107,0.03196981372586992,0.7742391985519135,0.4865584438704123,99.92752885504909
ALL,ComBat-joint,0.0002525303215892243,0.0003008357632063972,1.8209120830149978e-05,0.0005092972331192314,0.015505299720305593,0.03203135845999436,0.7870043218947015,0.5032583618160551,99.92483949803893
ALL,CovBat,0.000304374614989109,0.0004094977958505849,8.696642902484986e-05,0.00045015787837774214,0.016304841490565825,0.0345721093237846,0.7628405776960351,0.4846990159569261,99.90940910104253
ALL,LME,0.0002267117794148844,0.00022074801678304337,2.0623324150631815e-05,0.0004719368570756635,0.015602138119566039,0.03216031242009666,0.8007423162120646,0.49615460458406624,99.93252386076225
ALL,Original,0.33598807219252697,0.31572847956238514,0.044064294293710914,0.736249213219337,0.0032445504423759264,0.02589088725490865,1.0,1.0,
ALL,RELIEF,0.00023057450856348597,0.0002645509358647751,1.3445812607709663e-05,0.0003633351937642157,0.01574750665360744,0.03475769649402852,0.7719258752233249,0.49301291234223427,99.93137419817947
HC,ComBat,0.00040891193668097104,0.000517914889736472,4.867014329238837e-05,0.0007370478237852671,0.00885587564897522,0.03331044267626988,0.7894570965484986,0.5213564138437207,99.87005677034064
HC,ComBat-joint,0.0004911358348020826,0.000449630362466285,0.00013461101770116077,0.0011243202077243933,0.00867610507970204,0.033432434209048456,0.8062628949118779,0.5447982092399245,99.84392782198134
HC,CovBat,0.00025379608875427203,0.00021878143887655964,9.420715737050793e-05,0.00042238801625727514,0.009548264204096754,0.035185957185521824,0.78211559515884,0.5251350273574759,99.91934917890799
HC,LME,0.0007926660040724536,0.000414117988437773,4.77635992284938e-05,0.004194349095599623,0.00898147134917418,0.0346200852762151,0.8162137942818015,0.5344058233557892,99.74810815882171
HC,Original,0.3146850649725406,0.29147577644591743,0.05296825543532277,0.7003492296445732,0.0015489913159147384,0.029814328943625984,1.0,1.0,
HC,RELIEF,0.0004360476164651854,0.00033459688084214255,5.313474446539364e-05,0.0012999548378395196,0.008827125201673947,0.03622705063666436,0.7906589159538202,0.5309763970931795,99.86143364747761
