,vendor_eta2,vendor_eta2,vendor_eta2,vendor_eta2,vendor_eta2,vendor_eta2,vendor_ICC,vendor_ICC,vendor_ICC,vendor_ICC,vendor_ICC,vendor_ICC,age_R2,age_R2,age_R2,age_R2,age_R2,age_R2,sex_R2,sex_R2,sex_R2,sex_R2,sex_R2,sex_R2,r_pre_post,r_pre_post,r_pre_post,r_pre_post,r_pre_post,r_pre_post
method,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME
biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2w_CSA,0.042402234260593065,2.159429652195361e-05,1.8209120830149978e-05,0.00010685956054064389,0.00010005278123898051,2.1408722046963278e-05,0.05162700834733764,-0.011330877187959306,-0.012318028376906036,-0.012183419460276174,-0.012193754611434428,-0.011331158706819954,0.000418564190879267,7.232416168856393e-05,0.00039602048385745103,0.0005346361374907183,0.00043252645446023585,9.862386004533263e-07,0.08567313872138116,0.09274945428966053,0.11408091879405768,0.12117850959219267,0.1245971290346164,0.08995122495516028,1.0,0.9732899449545357,0.9742490216170803,0.9348134390835999,0.9360822229606685,0.9788852289570692
GM_CSA_mm2,0.17012924931042456,3.117218850892359e-05,8.191757633576581e-05,0.00010013938489230596,1.3445812607709663e-05,3.0764554917850005e-05,0.22649667028272705,-0.011316347473799762,-0.012221290750480134,-0.012193623115345657,-0.012325261434169805,-0.011316965853335862,0.0027380323561831954,0.00023498257236986841,0.00019376361881240367,0.00014153364511193534,0.00021854061968562544,0.0002167326020843241,0.06406598819536147,0.07709670200202057,0.08166451137371056,0.08977168412341929,0.09210714081050775,0.07881463059010141,1.0,0.9109603486237206,0.9158812996738901,0.8557663794625965,0.8592171379468658,0.9117780668715759
MTR,0.1799601123088864,0.0005961731196937469,0.00035050694627897884,8.696642902484986e-05,0.0003188611009576459,0.00058896305831598,0.23866390346908184,-0.011047512865278485,-0.011813520986094034,-0.012213624621531421,-0.011861559709113302,-0.011058450738998674,0.02916616166421071,0.030560615175824424,0.000344587776787586,0.0001225772692476923,0.00034655276569928173,0.03208666964456541,0.001201464363568383,0.003340095270633725,0.0006197534543596062,0.0006058329042321065,0.0006232875572728114,0.0014821351232873203,1.0,0.8615420372432535,0.7995358062153064,0.760579486343234,0.7935234463757505,0.9073379469271969
MTsat,0.3605036090614088,4.442790475968982e-05,0.0005092972331192314,0.00043267032104148535,0.0003633351937642157,4.3798590083464665e-05,0.45156184050840614,-0.012127668886904265,-0.011572498621740701,-0.011688803222760214,-0.011794048005664554,-0.012128624328624335,0.012845090129891212,0.0032536816810259106,0.0001966471371513956,0.0003803755851699009,0.00020218777337288607,0.002960609394555558,0.006012529165474456,0.006425848012513002,0.004020388396722141,0.0040487463980284355,0.004133664948310467,0.008676031332642165,1.0,0.7797055153828694,0.791924082440482,0.7779978046345414,0.7811449968463222,0.8035914840314707
FA,0.28375460268499864,0.00016987249650309892,0.00032289515811595616,0.00039857698502338836,0.000295224770568453,0.0001686420979701441,0.3654254816372307,-0.01141539047834856,-0.011855435883772891,-0.011740553074168386,-0.011897440896609542,-0.011417257304103924,0.003971271868012938,0.014669262472443267,0.007117710214010198,0.005745598861423784,0.007169971229772809,0.010607088633453388,0.007079192776198839,0.01053208170832276,0.010249331343805346,0.01101612900686555,0.010324585948279452,0.010470787152890182,1.0,0.8252237830057966,0.8296552425871899,0.8213270457589811,0.826475263918692,0.8433436680079377
MD,0.4214584852274462,0.0002485638991055762,0.00027877636829683834,0.00042041860667778146,0.00021844160674570114,8.916350374737735e-05,0.5165765415848085,-0.011296000489237375,-0.01192241093313056,-0.011707399744815878,-0.012014007612704115,-0.011537851298618052,0.0008643687048512927,0.015290868651991807,0.03843607490296519,0.039984387347707706,0.03855387646697961,0.016134989725628657,0.005281853546436621,0.009101385235868564,0.015998016019682204,0.01732589607716617,0.016047047855346164,0.010438615952434671,1.0,0.7345825015403131,0.684233057925855,0.6774645878767894,0.6858577877864149,0.7564797634633044
AD,0.6610666709239628,0.00016750239697192764,0.00010457455373108931,0.00045015787837774214,0.00030135770146408455,0.00010196053053864686,0.7422915006178724,-0.011418986520809754,-0.012186888918640804,-0.011662259761052174,-0.011888130704827424,-0.011518433541621766,0.00018764119586300865,0.013640893972330592,0.04661921954047987,0.052832991125785767,0.04802047081560745,0.010402042544060963,0.00281285813485177,0.008402720560252042,0.01590309414675528,0.017735318463237837,0.016381099380889164,0.00998690231542787,1.0,0.5635676618007723,0.5032583618160551,0.4846990159569261,0.49301291234223427,0.5778283344809685
RD,0.26248065368951157,0.00024931389639307444,0.0003540656160057848,0.0004392077543346751,0.00023387710116109725,0.0002459708432145167,0.3404332361096574,-0.011294862644329386,-0.011808118983431617,-0.01167888033548627,-0.01199057382866061,-0.011299934503962725,0.0031607641007039833,0.015691615617267507,0.03073837408838065,0.030696631952589204,0.0310359271032824,0.016755701320694816,0.005934146587226463,0.008415462895512982,0.013714854150861822,0.014894758025135846,0.01384761641700627,0.008978968139227717,1.0,0.8099192966638292,0.7972977028817531,0.7900768624516119,0.8000932336096509,0.8507154651711716
