,vendor_eta2,vendor_eta2,vendor_eta2,vendor_eta2,vendor_eta2,vendor_eta2,vendor_ICC,vendor_ICC,vendor_ICC,vendor_ICC,vendor_ICC,vendor_ICC,age_R2,age_R2,age_R2,age_R2,age_R2,age_R2,sex_R2,sex_R2,sex_R2,sex_R2,sex_R2,sex_R2,r_pre_post,r_pre_post,r_pre_post,r_pre_post,r_pre_post,r_pre_post
method,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME,Original,ComBat,ComBat-joint,CovBat,RELIEF,LME
biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2w_CSA,0.05312266843075944,0.0004792626699222366,0.0006080715732154422,0.00037236702011409964,0.0012999548378395196,0.0004711200279360049,0.06378658584744845,-0.014270497396726076,-0.015289599650830099,-0.01564871376947763,-0.01423595056433154,-0.014282888680219935,0.0007948484744567663,9.115437989981601e-07,3.974051839261694e-05,4.997713538346105e-06,4.296084978294701e-05,1.7189534479156166e-05,0.10468499165316936,0.10068726324841204,0.12179367595853197,0.12791177611782956,0.13166309924920183,0.10240907883323314,1.0,0.9721430008834869,0.9746625773781193,0.9399123657372509,0.9429075478872014,0.9777952956914305
GM_CSA_mm2,0.17771607312884785,0.0004066015036678515,0.0011243202077243933,0.00021063901525197572,0.0005454683874267581,0.00039993442171097534,0.23349219296978752,-0.014381075038575683,-0.014503350480032701,-0.01589516785427131,-0.015384972193779883,-0.014391221578667983,0.0018109425089642972,2.6053186883423507e-06,1.984076747263419e-05,3.692531601151572e-06,2.2165349175429228e-05,8.94448872301723e-07,0.0893709789789694,0.09100856421274295,0.10130300620609078,0.10982901483903873,0.11317185729784673,0.09256653893153544,1.0,0.912874469646609,0.9199676035688241,0.8584939234860092,0.866251819761355,0.9148270770854674
MTR,0.1618419036226207,0.0003706339529581375,0.0006846259339885041,0.00042238801625727514,0.0006205256378795838,0.0003610241299529352,0.21240967546710626,-0.015142227765717692,-0.015172981364791541,-0.015572495838618815,-0.015270627273620385,-0.015156863554981673,0.011729356113044598,0.007368085779631994,0.00018229946227010796,1.3321430472057472e-06,0.00018430852627238092,0.015840991935707538,0.0002999389225586402,0.0006448449995777317,0.0008870961912007536,0.0010930883286739412,0.0008968725942795075,4.97823830547528e-06,1.0,0.8509630229635823,0.8161948065920964,0.7713168250893622,0.8039654838090604,0.9146799697745162
MTsat,0.3378833407150165,4.0695192304325515e-05,0.00053624972147993,0.00015528549472538055,0.00031451050010363363,3.993963666487418e-05,0.42448894693421296,-0.01598075992610977,-0.015399016833322949,-0.015979529136426723,-0.015736875589482956,-0.015981911394964434,0.00570763071696645,2.7344496270731433e-05,3.2862554602330896e-05,1.201163167263708e-06,3.3932525769664323e-05,8.226931788146707e-06,0.0023253923769482876,0.006985931675939305,0.005592781698230964,0.005498878225663417,0.005774876950196184,0.009572662714060098,1.0,0.7879516488190114,0.8105997955202697,0.7933877942942643,0.7988046994646236,0.8103998456903515
FA,0.27008656965999445,0.0001564663648055128,0.00036301100345263997,0.00040243793796490405,0.0002221914834348985,0.00015409639512398808,0.3470355909458928,-0.015146323717457836,-0.015662970130864276,-0.015602893690471674,-0.015877561956404877,-0.015149932803142597,0.0002541757753541374,0.0007759615182734159,0.0008786358693323448,0.0003574034587273678,0.0008878571256073498,0.00026701856507294064,0.004409707637586191,0.013100879326326975,0.01356197502977452,0.012258549257001539,0.01370430753827323,0.013617524071043552,1.0,0.8320020370275519,0.8455904720161788,0.837696359929258,0.8399899264088716,0.8497930347693851
MD,0.3770624296093994,0.0005007507143557976,0.00013461101770116077,9.420715737050793e-05,7.79120789910442e-05,0.0001994130008588854,0.46781269398665043,-0.014622124436309314,-0.016011039177157304,-0.016072620718572725,-0.01609745756541818,-0.015080924324818482,0.00011289988818774521,0.011107070223826065,0.020605766401347703,0.022124270610802355,0.020670238955568965,0.010181138407072576,0.000682548275927064,0.004696400789545141,0.008828744260896526,0.008929635778534895,0.008856368163932649,0.0066376517209295605,1.0,0.7615173026581126,0.7189886110027953,0.7162959010942435,0.7211093699463792,0.7843134806410648
AD,0.6222574711540778,0.0006878693647845364,0.00028370153285420767,0.00022692386250114353,0.00035468326158065146,0.0004766247174011152,0.707462782289015,-0.014337297637917048,-0.015783824403948418,-0.0158703498954968,-0.015675659756322274,-0.014658852234901753,0.00029744191699099254,0.020799031434222348,0.033045538943617614,0.039278714353941924,0.03403302056600943,0.01964996550227538,7.373823154299686e-06,0.0027350535806428544,0.005392603138983709,0.006218366871972192,0.005553747325667158,0.0033837505657263733,1.0,0.5889413303653801,0.5447982092399245,0.5251350273574759,0.5309763970931795,0.6038492360880403
RD,0.23563206375646334,0.0003596705908911841,0.00019449568800038237,0.00014612020584888982,5.313474446539364e-05,0.0003539028775681063,0.3056751551050196,-0.01483690790485602,-0.015919770536724234,-0.015993497903988293,-0.01613522378451694,-0.014845689442501739,2.4003743925749e-05,0.007411735512814599,0.014604156120581413,0.01461450165794842,0.014742517715206627,0.005959160110000528,0.001497661364108338,0.005562938528365202,0.010099591188678647,0.009748348065460655,0.01019527597391967,0.007625353095376597,1.0,0.8269780193838668,0.8193010839768144,0.8146865642828561,0.8212660832598914,0.8649949191088061
