cohort,method,biomarker,n,vendor_F,vendor_p,vendor_eta2,vendor_ICC,age_R2,sex_R2,r_pre_post
HC,Original,T2w_CSA,188,5.17360020494302,0.006512078939156265,0.05296825543532277,0.062441405462367296,0.00036525860123248766,0.12476726405254157,1.0
HC,Original,GM_CSA_mm2,188,19.770579697998638,1.6538971838690246e-08,0.17609760055733575,0.23049133579426906,0.002297160275179233,0.10172029988984765,1.0
HC,Original,MTR,188,23.886584517272382,5.916840318517024e-10,0.20523486118563375,0.26751273856403646,0.0036966043317340214,0.00012212830406821418,1.0
HC,Original,MTsat,188,46.663575472756236,3.908357474351807e-17,0.3353145772105536,0.42152195518945124,0.004893066616838082,0.0013954387300731952,1.0
HC,Original,FA,188,37.82377847388575,1.6920821867657166e-14,0.29022929596431996,0.3701237683866431,2.094605603042421e-05,0.00506320666704041,1.0
HC,Original,MD,188,80.2565507476423,8.042976057939701e-26,0.46456444285507087,0.5584466882277109,0.0003006783823755743,0.0017581696709113581,1.0
HC,Original,AD,188,216.19268211886273,3.862996945151743e-49,0.7003492296445732,0.7744662292610601,1.161492556356336e-06,9.695869680503844e-05,1.0
HC,Original,RD,188,38.28313421566292,1.2220085225750844e-14,0.2927222569275149,0.3730185941996643,0.000817054771371728,0.003591165537720431,1.0
HC,ComBat,T2w_CSA,188,0.051479463724936586,0.9498367569117435,0.000556225184332267,-0.015368584375025317,3.9342688767929346e-05,0.12189257632816031,0.9727834462635175
HC,ComBat,GM_CSA_mm2,188,0.047949242188752926,0.9531940091610983,0.0005181016173926537,-0.015426665852013174,1.4622810885267512e-05,0.10151191822631933,0.91548810900861
HC,ComBat,MTR,188,0.009621214761054184,0.9904254165873523,0.00010400231494535763,-0.016057691201243236,1.217753271554045e-07,0.0012661622924291516,0.7846260809167516
HC,ComBat,MTsat,188,0.004502207377624118,0.9955080214364094,4.867014329238837e-05,-0.01614202893828,9.415345402385977e-05,0.005433107663628367,0.7888047061805502
HC,ComBat,FA,188,0.012061725685169762,0.9880115022516779,0.00013038003326458657,-0.01601748771521908,0.0011090079554570975,0.013585162916509574,0.8263662573834398
HC,ComBat,MD,188,0.06101068442344376,0.9408321092347808,0.0006591402143549577,-0.015211803778649306,0.02087860738031766,0.008411392762292857,0.7069800256882119
HC,ComBat,AD,188,0.06822721041710045,0.9340717151556431,0.0007370478237852671,-0.01509313017429159,0.03461570334522934,0.005784542996427056,0.5213564138437207
HC,ComBat,RD,188,0.04791466176219845,0.9532269545144224,0.0005177281620802903,-0.015427234824312476,0.014095445781793448,0.00859867822439242,0.7992517331031872
HC,ComBat-joint,T2w_CSA,188,0.05628084330336083,0.945289803205302,0.0006080715732154422,-0.015289599650830099,3.9740518392727964e-05,0.12179367595853152,0.9746625773781193
HC,ComBat-joint,GM_CSA_mm2,188,0.10411667970145767,0.9011729129611622,0.0011243202077243933,-0.014503350480032701,1.9840767472412146e-05,0.1013030062060909,0.9199676035688241
HC,ComBat-joint,MTR,188,0.06337128451879012,0.9386152888556839,0.0006846259339885041,-0.015172981364791541,0.00018229946226999694,0.0008870961912004205,0.8161948065920964
HC,ComBat-joint,MTsat,188,0.049629713156750736,0.951594382470338,0.00053624972147993,-0.015399016833322949,3.2862554602330896e-05,0.005592781698231186,0.8105997955202697
HC,ComBat-joint,FA,188,0.03359071161730144,0.9669730883277747,0.00036301100345263997,-0.015662970130864276,0.0008786358693321228,0.01356197502977452,0.8455904720161788
HC,ComBat-joint,MD,188,0.012453195474673275,0.9876248525187955,0.00013461101770116077,-0.016011039177157304,0.02060576640134759,0.008828744260896415,0.7189886110027953
HC,ComBat-joint,AD,188,0.026249838908551423,0.974095320638056,0.00028370153285420767,-0.015783824403948418,0.033045538943617725,0.00539260313898382,0.5447982092399245
HC,ComBat-joint,RD,188,0.01799435096370645,0.9821682994551554,0.00019449568800038237,-0.015919770536724234,0.014604156120581413,0.01009959118867887,0.8193010839768144
