method,biomarker1,biomarker2,r
Original,T2w_CSA,T2w_CSA,1.0
Original,T2w_CSA,GM_CSA_mm2,0.7538638583093643
Original,T2w_CSA,MTR,0.04875235590493314
Original,T2w_CSA,MTsat,-0.08306207206829821
Original,T2w_CSA,FA,0.04832827845459493
Original,T2w_CSA,MD,-0.014030181041376958
Original,T2w_CSA,AD,0.026293842861676922
Original,T2w_CSA,RD,-0.043349324212498555
Original,GM_CSA_mm2,T2w_CSA,0.7538638583093644
Original,GM_CSA_mm2,GM_CSA_mm2,1.0
Original,GM_CSA_mm2,MTR,0.1695687301312215
Original,GM_CSA_mm2,MTsat,-0.07706758029496542
Original,GM_CSA_mm2,FA,-0.12124313100221704
Original,GM_CSA_mm2,MD,0.14827944340130816
Original,GM_CSA_mm2,AD,0.1393046209514565
Original,GM_CSA_mm2,RD,0.13350615849288236
Original,MTR,T2w_CSA,0.04875235590493314
Original,MTR,GM_CSA_mm2,0.1695687301312215
Original,MTR,MTR,1.0
Original,MTR,MTsat,0.3098200339114974
Original,MTR,FA,-0.23013028101698285
Original,MTR,MD,-0.17797593212500973
Original,MTR,AD,-0.31668832116095086
Original,MTR,RD,-0.04392379583933591
Original,MTsat,T2w_CSA,-0.08306207206829823
Original,MTsat,GM_CSA_mm2,-0.07706758029496542
Original,MTsat,MTR,0.3098200339114974
Original,MTsat,MTsat,1.0
Original,MTsat,FA,0.0876618943825123
Original,MTsat,MD,-0.3388855838621741
Original,MTsat,AD,-0.35658039416157516
Original,MTsat,RD,-0.27539198126453557
Original,FA,T2w_CSA,0.04832827845459494
Original,FA,GM_CSA_mm2,-0.12124313100221702
Original,FA,MTR,-0.23013028101698288
Original,FA,MTsat,0.0876618943825123
Original,FA,FA,1.0
Original,FA,MD,-0.5152471320728036
Original,FA,AD,-0.09276532177504275
Original,FA,RD,-0.7683956760645628
Original,MD,T2w_CSA,-0.014030181041376958
Original,MD,GM_CSA_mm2,0.1482794434013082
Original,MD,MTR,-0.17797593212500973
Original,MD,MTsat,-0.3388855838621741
