method,biomarker1,biomarker2,r
Original,T2w_CSA,T2w_CSA,1.0
Original,T2w_CSA,GM_CSA_mm2,0.7584280030765046
Original,T2w_CSA,MTR,0.08194196574394216
Original,T2w_CSA,MTsat,-0.04854904733133232
Original,T2w_CSA,FA,0.023506592140567772
Original,T2w_CSA,MD,0.007278128748423732
Original,T2w_CSA,AD,0.04005834091704326
Original,T2w_CSA,RD,-0.017911457388311194
Original,GM_CSA_mm2,T2w_CSA,0.7584280030765045
Original,GM_CSA_mm2,GM_CSA_mm2,1.0
Original,GM_CSA_mm2,MTR,0.17964924181478195
Original,GM_CSA_mm2,MTsat,-0.03002733472379793
Original,GM_CSA_mm2,FA,-0.13061838287585276
Original,GM_CSA_mm2,MD,0.17350351141807058
Original,GM_CSA_mm2,AD,0.17101764887670765
Original,GM_CSA_mm2,RD,0.15178733808380754
Original,MTR,T2w_CSA,0.08194196574394218
Original,MTR,GM_CSA_mm2,0.17964924181478195
Original,MTR,MTR,1.0
Original,MTR,MTsat,0.3091546483150952
Original,MTR,FA,-0.20065120426313748
Original,MTR,MD,-0.13506319600581032
Original,MTR,AD,-0.2585614487034465
Original,MTR,RD,-0.02555094888334968
Original,MTsat,T2w_CSA,-0.04854904733133232
Original,MTsat,GM_CSA_mm2,-0.030027334723797934
Original,MTsat,MTR,0.3091546483150952
Original,MTsat,MTsat,1.0
Original,MTsat,FA,0.057050779615047356
Original,MTsat,MD,-0.30128630276847285
Original,MTsat,AD,-0.3358584588038023
Original,MTsat,RD,-0.23486490191640827
Original,FA,T2w_CSA,0.023506592140567772
Original,FA,GM_CSA_mm2,-0.13061838287585276
Original,FA,MTR,-0.20065120426313748
Original,FA,MTsat,0.057050779615047356
Original,FA,FA,1.0
Original,FA,MD,-0.5624174792314395
Original,FA,AD,-0.15152796333161725
Original,FA,RD,-0.7894342118170836
Original,MD,T2w_CSA,0.007278128748423732
Original,MD,GM_CSA_mm2,0.1735035114180706
Original,MD,MTR,-0.13506319600581035
Original,MD,MTsat,-0.3012863027684729
Original,MD,FA,-0.5624174792314396
Original,MD,MD,1.0
Original,MD,AD,0.8930602517213906
Original,MD,RD,0.9432130592499008
Original,AD,T2w_CSA,0.04005834091704325
Original,AD,GM_CSA_mm2,0.17101764887670765
Original,AD,MTR,-0.2585614487034465
Original,AD,MTsat,-0.3358584588038023
Original,AD,FA,-0.15152796333161728
Original,AD,MD,0.8930602517213905
Original,AD,AD,1.0
Original,AD,RD,0.6928822149910807
Original,RD,T2w_CSA,-0.017911457388311194
Original,RD,GM_CSA_mm2,0.15178733808380757
Original,RD,MTR,-0.025550948883349682
Original,RD,MTsat,-0.23486490191640827
Original,RD,FA,-0.7894342118170835
Original,RD,MD,0.9432130592499008
Original,RD,AD,0.6928822149910807
Original,RD,RD,1.0
ComBat,T2w_CSA,T2w_CSA,1.0
ComBat,T2w_CSA,GM_CSA_mm2,0.7545882822062522
ComBat,T2w_CSA,MTR,0.10367618609010029
ComBat,T2w_CSA,MTsat,0.08009498771299779
ComBat,T2w_CSA,FA,0.11852703910275803
ComBat,T2w_CSA,MD,-0.11582695702299824
ComBat,T2w_CSA,AD,-0.13437410945896272
ComBat,T2w_CSA,RD,-0.11374060228088602
ComBat,GM_CSA_mm2,T2w_CSA,0.7545882822062522
ComBat,GM_CSA_mm2,GM_CSA_mm2,0.9999999999999998
ComBat,GM_CSA_mm2,MTR,0.15772666573785932
ComBat,GM_CSA_mm2,MTsat,0.21147016216015177
ComBat,GM_CSA_mm2,FA,0.07543604324745512
ComBat,GM_CSA_mm2,MD,-0.023852428903631647
ComBat,GM_CSA_mm2,AD,-0.0356897085021282
ComBat,GM_CSA_mm2,RD,-0.04414795187044083
ComBat,MTR,T2w_CSA,0.10367618609010028
ComBat,MTR,GM_CSA_mm2,0.15772666573785932
ComBat,MTR,MTR,1.0
ComBat,MTR,MTsat,0.588012238285631
ComBat,MTR,FA,0.046392252937196794
ComBat,MTR,MD,-0.09324685050904757
ComBat,MTR,AD,-0.0692807432762173
ComBat,MTR,RD,-0.09798317214283728
ComBat,MTsat,T2w_CSA,0.08009498771299779
ComBat,MTsat,GM_CSA_mm2,0.21147016216015174
ComBat,MTsat,MTR,0.588012238285631
ComBat,MTsat,MTsat,1.0
ComBat,MTsat,FA,-0.11021574065338711
ComBat,MTsat,MD,0.1281812620019862
ComBat,MTsat,AD,0.12337559783639687
ComBat,MTsat,RD,0.11052943638751095
ComBat,FA,T2w_CSA,0.11852703910275803
ComBat,FA,GM_CSA_mm2,0.07543604324745512
ComBat,FA,MTR,0.0463922529371968
ComBat,FA,MTsat,-0.11021574065338711
ComBat,FA,FA,1.0
ComBat,FA,MD,-0.7352968463720244
ComBat,FA,AD,-0.4583299122832256
ComBat,FA,RD,-0.8543286236303802
ComBat,MD,T2w_CSA,-0.11582695702299825
ComBat,MD,GM_CSA_mm2,-0.023852428903631647
ComBat,MD,MTR,-0.09324685050904757
ComBat,MD,MTsat,0.1281812620019862
ComBat,MD,FA,-0.7352968463720244
ComBat,MD,MD,1.0
ComBat,MD,AD,0.9132742191560727
ComBat,MD,RD,0.9678186286000823
ComBat,AD,T2w_CSA,-0.13437410945896272
ComBat,AD,GM_CSA_mm2,-0.0356897085021282
ComBat,AD,MTR,-0.0692807432762173
ComBat,AD,MTsat,0.12337559783639686
ComBat,AD,FA,-0.45832991228322556
ComBat,AD,MD,0.9132742191560727
ComBat,AD,AD,0.9999999999999999
ComBat,AD,RD,0.792606192122195
ComBat,RD,T2w_CSA,-0.11374060228088602
ComBat,RD,GM_CSA_mm2,-0.04414795187044082
ComBat,RD,MTR,-0.09798317214283726
ComBat,RD,MTsat,0.11052943638751093
ComBat,RD,FA,-0.8543286236303802
ComBat,RD,MD,0.9678186286000822
ComBat,RD,AD,0.7926061921221951
ComBat,RD,RD,1.0
ComBat-joint,T2w_CSA,T2w_CSA,1.0
ComBat-joint,T2w_CSA,GM_CSA_mm2,0.7534570216956944
ComBat-joint,T2w_CSA,MTR,0.11152650441113127
ComBat-joint,T2w_CSA,MTsat,0.08462493956136828
ComBat-joint,T2w_CSA,FA,0.1243702014053959
ComBat-joint,T2w_CSA,MD,-0.13433253165211984
ComBat-joint,T2w_CSA,AD,-0.145182444114704
ComBat-joint,T2w_CSA,RD,-0.13501152147318113
ComBat-joint,GM_CSA_mm2,T2w_CSA,0.7534570216956944
ComBat-joint,GM_CSA_mm2,GM_CSA_mm2,1.0
ComBat-joint,GM_CSA_mm2,MTR,0.16112795832896928
ComBat-joint,GM_CSA_mm2,MTsat,0.21895038847231751
ComBat-joint,GM_CSA_mm2,FA,0.07021829315132683
ComBat-joint,GM_CSA_mm2,MD,-0.04155738960846647
ComBat-joint,GM_CSA_mm2,AD,-0.04387133728658401
ComBat-joint,GM_CSA_mm2,RD,-0.06084101702807754
ComBat-joint,MTR,T2w_CSA,0.11152650441113125
ComBat-joint,MTR,GM_CSA_mm2,0.16112795832896928
ComBat-joint,MTR,MTR,1.0
ComBat-joint,MTR,MTsat,0.5989023112208414
ComBat-joint,MTR,FA,0.07572712289938442
ComBat-joint,MTR,MD,-0.11973794139741291
ComBat-joint,MTR,AD,-0.08492781096634945
ComBat-joint,MTR,RD,-0.12146147674367938
ComBat-joint,MTsat,T2w_CSA,0.08462493956136828
ComBat-joint,MTsat,GM_CSA_mm2,0.21895038847231751
ComBat-joint,MTsat,MTR,0.5989023112208414
ComBat-joint,MTsat,MTsat,1.0
ComBat-joint,MTsat,FA,-0.11098101014979196
ComBat-joint,MTsat,MD,0.1188921315379325
ComBat-joint,MTsat,AD,0.11815300061696281
ComBat-joint,MTsat,RD,0.10694612794438954
ComBat-joint,FA,T2w_CSA,0.1243702014053959
ComBat-joint,FA,GM_CSA_mm2,0.07021829315132683
ComBat-joint,FA,MTR,0.07572712289938442
ComBat-joint,FA,MTsat,-0.11098101014979195
ComBat-joint,FA,FA,1.0
ComBat-joint,FA,MD,-0.761299610041834
ComBat-joint,FA,AD,-0.4787954398246551
ComBat-joint,FA,RD,-0.8734662425857284
ComBat-joint,MD,T2w_CSA,-0.13433253165211984
ComBat-joint,MD,GM_CSA_mm2,-0.04155738960846647
ComBat-joint,MD,MTR,-0.11973794139741292
ComBat-joint,MD,MTsat,0.1188921315379325
ComBat-joint,MD,FA,-0.761299610041834
ComBat-joint,MD,MD,1.0
ComBat-joint,MD,AD,0.9137880694995124
ComBat-joint,MD,RD,0.9726999341770298
ComBat-joint,AD,T2w_CSA,-0.145182444114704
ComBat-joint,AD,GM_CSA_mm2,-0.04387133728658401
ComBat-joint,AD,MTR,-0.08492781096634944
ComBat-joint,AD,MTsat,0.1181530006169628
ComBat-joint,AD,FA,-0.4787954398246551
ComBat-joint,AD,MD,0.9137880694995124
ComBat-joint,AD,AD,1.0
ComBat-joint,AD,RD,0.8015822089622598
ComBat-joint,RD,T2w_CSA,-0.13501152147318113
