cohort,pc,var_ratio,cum_var,kept
HC,1,0.37887823134228393,0.37887823134228393,True
HC,2,0.28264425737687104,0.661522488719155,True
HC,3,0.19439673859579915,0.8559192273149541,True
HC,4,0.055390240952429115,0.9113094682673832,True
HC,5,0.04730513048625759,0.9586145987536409,True
HC,6,0.038101273554292166,0.996715872307933,False
HC,7,0.0031022959282392087,0.9998181682361722,False
HC,8,0.00018183176382787712,1.0,False
ALL,1,0.36454710695623443,0.36454710695623443,True
ALL,2,0.28311603262630347,0.6476631395825379,True
ALL,3,0.20158918995094977,0.8492523295334876,True
ALL,4,0.05982510212990775,0.9090774316633954,True
ALL,5,0.04682052137690755,0.9558979530403029,True
ALL,6,0.04073952341348398,0.9966374764537869,False
ALL,7,0.003124346121293105,0.99976182257508,False
ALL,8,0.0002381774249199874,0.9999999999999999,False
