fold,method,vendor,biomarker,mean_deviation,r_pre_post,n
GE,Original,GE,T2w_CSA,-2.1437856578451004,1.0,25
GE,Original,GE,GM_CSA_mm2,-0.5449503404255331,1.0,25
GE,Original,GE,MTR,3.311210994255319,1.0,25
GE,Original,GE,MTsat,1.0289080632292222,1.0,25
GE,Original,GE,FA,-0.019071677761702155,1.0,25
GE,Original,GE,MD,-0.0003509106864340426,1.0,25
GE,Original,GE,AD,-0.000642111859761702,1.0,25
GE,Original,GE,RD,-0.00020531010362553204,1.0,25
GE,Original,Philips,T2w_CSA,-2.660653542704125,1.0,33
GE,Original,Philips,GM_CSA_mm2,-0.8574526434558383,1.0,33
GE,Original,Philips,MTR,-5.302930118471963,1.0,33
GE,Original,Philips,MTsat,0.5308915956769784,1.0,33
GE,Original,Philips,FA,0.0791020536686009,1.0,33
GE,Original,Philips,MD,-6.65177160219211e-05,1.0,33
GE,Original,Philips,AD,5.989760336557099e-05,1.0,33
GE,Original,Philips,RD,-0.0001297253667891684,1.0,33
GE,Original,Siemens,T2w_CSA,1.0876631411951223,1.0,130
GE,Original,Siemens,GM_CSA_mm2,0.32245919803600565,1.0,130
GE,Original,Siemens,MTR,0.7093570696399283,1.0,130
GE,Original,Siemens,MTsat,-0.332631724908238,1.0,130
GE,Original,Siemens,FA,-0.016412121746317676,1.0,130
GE,Original,Siemens,MD,8.436809068903422e-05,1.0,130
GE,Original,Siemens,AD,0.00010827827371522069,1.0,130
GE,Original,Siemens,RD,7.241299765139108e-05,1.0,130
GE,ComBat,GE,T2w_CSA,0.0,1.0,25
GE,ComBat,GE,GM_CSA_mm2,0.0,1.0,25
GE,ComBat,GE,MTR,1.4210854715202004e-14,1.0,25
GE,ComBat,GE,MTsat,-4.440892098500626e-16,0.9999999999999999,25
GE,ComBat,GE,FA,-2.220446049250313e-16,1.0,25
GE,ComBat,GE,MD,0.0,1.0,25
GE,ComBat,GE,AD,-4.336808689942018e-19,1.0,25
GE,ComBat,GE,RD,-1.0842021724855044e-19,1.0,25
GE,ComBat,Philips,T2w_CSA,-0.30550054483651934,0.9969101094289864,33
GE,ComBat,Philips,GM_CSA_mm2,-0.048777251912863306,0.9994809033247214,33
GE,ComBat,Philips,MTR,-0.026014623760673317,0.9999125266877887,33
GE,ComBat,Philips,MTsat,-0.011243512266652989,0.9993048903686558,33
GE,ComBat,Philips,FA,-0.0012147356795734199,0.9995765547613977,33
GE,ComBat,Philips,MD,6.2639353714455046e-06,0.9980198837292644,33
GE,ComBat,Philips,AD,6.375777301966153e-06,0.9996915176339592,33
GE,ComBat,Philips,RD,6.208015340704244e-06,0.9942206127641434,33
GE,ComBat,Siemens,T2w_CSA,0.07755013830463042,0.9998789020128993,130
GE,ComBat,Siemens,GM_CSA_mm2,0.012381917793270247,0.9999598163820445,130
GE,ComBat,Siemens,MTR,0.006603712185402344,0.9999826645314019,130
GE,ComBat,Siemens,MTsat,0.002854122344611909,0.9998165289237393,130
GE,ComBat,Siemens,FA,0.000308355980199293,0.9999822453022353,130
GE,ComBat,Siemens,MD,-1.5900759019822804e-06,0.9999292468935702,130
GE,ComBat,Siemens,AD,-1.6184665458840626e-06,0.999963417273096,130
GE,ComBat,Siemens,RD,-1.5758808172558003e-06,0.9999047168513581,130
GE,ComBat-joint,GE,T2w_CSA,0.0,0.9999999999999997,25
GE,ComBat-joint,GE,GM_CSA_mm2,0.0,1.0,25
GE,ComBat-joint,GE,MTR,-7.105427357601002e-15,1.0,25
GE,ComBat-joint,GE,MTsat,4.440892098500626e-16,0.9999999999999999,25
GE,ComBat-joint,GE,FA,1.1102230246251565e-16,1.0,25
GE,ComBat-joint,GE,MD,2.168404344971009e-19,1.0,25
GE,ComBat-joint,GE,AD,-4.336808689942018e-19,1.0,25
GE,ComBat-joint,GE,RD,-1.0842021724855044e-19,1.0,25
GE,ComBat-joint,Philips,T2w_CSA,-0.33930002952367033,0.9980958298065897,33
GE,ComBat-joint,Philips,GM_CSA_mm2,-0.08019676963264821,0.9996840654850744,33
GE,ComBat-joint,Philips,MTR,-0.2364950211648562,0.9999427438930727,33
GE,ComBat-joint,Philips,MTsat,0.04219734749923232,0.9995378388401254,33
GE,ComBat-joint,Philips,FA,0.0033200854971382476,0.999738154396532,33
GE,ComBat-joint,Philips,MD,2.6315395989010525e-06,0.9988140505219085,33
GE,ComBat-joint,Philips,AD,6.374364356667196e-06,0.9998109416678096,33
GE,ComBat-joint,Philips,RD,1.1951267539766228e-06,0.9967820594612358,33
GE,ComBat-joint,Siemens,T2w_CSA,0.08613000749446087,0.999962437394091,130
GE,ComBat-joint,Siemens,GM_CSA_mm2,0.020357641522133818,0.9999761722728874,130
GE,ComBat-joint,Siemens,MTR,0.06003335152644951,0.9999926928289681,130
GE,ComBat-joint,Siemens,MTsat,-0.010711634365189404,0.9999252300921855,130
GE,ComBat-joint,Siemens,FA,-0.0008427909338889483,0.999994227006542,130
GE,ComBat-joint,Siemens,MD,-6.680062058746824e-07,0.9999764273699752,130
GE,ComBat-joint,Siemens,AD,-1.6181078751542274e-06,0.9999803472828447,130
GE,ComBat-joint,Siemens,RD,-3.033783298557252e-07,0.9999662970442009,130
GE,CovBat,GE,T2w_CSA,-0.12970087501763317,0.6558986265588171,25
GE,CovBat,GE,GM_CSA_mm2,-0.027742198327505463,0.9049572366701568,25
GE,CovBat,GE,MTR,-0.025937693507714243,0.9783293023061085,25
GE,CovBat,GE,MTsat,-0.003505540951778574,0.6962385040864482,25
GE,CovBat,GE,FA,-0.0009580696214194218,0.6089099868587378,25
GE,CovBat,GE,MD,8.2284472728727e-06,0.9955120982070707,25
GE,CovBat,GE,AD,1.0043653783041537e-05,0.9904165519778576,25
GE,CovBat,GE,RD,7.635761402516317e-06,0.9809943638928521,25
GE,CovBat,Philips,T2w_CSA,-0.6271904950855856,0.9517471483071271,33
GE,CovBat,Philips,GM_CSA_mm2,-0.0673966488297939,0.9455745788578964,33
GE,CovBat,Philips,MTR,-0.24669577927372188,0.9748318996883327,33
GE,CovBat,Philips,MTsat,-0.015996110912502637,0.9758986270481357,33
GE,CovBat,Philips,FA,-0.0017330047245212032,0.9869322273725146,33
GE,CovBat,Philips,MD,7.244346336531069e-06,0.9970907428192357,33
GE,CovBat,Philips,AD,7.5701021034846674e-06,0.9939949683332444,33
GE,CovBat,Philips,RD,7.2757128881967715e-06,0.9852947946406742,33
GE,CovBat,Siemens,T2w_CSA,0.18415237087126002,0.973003110689581,130
GE,CovBat,Siemens,GM_CSA_mm2,0.022443418227469536,0.9614806082835358,130
GE,CovBat,Siemens,MTR,0.06761079272096282,0.9825923321489852,130
GE,CovBat,Siemens,MTsat,0.004734693722362682,0.9810161447226943,130
GE,CovBat,Siemens,FA,0.0006241607418823181,0.9945373073272409,130
GE,CovBat,Siemens,MD,-3.421343160979213e-06,0.9989314148394501,130
GE,CovBat,Siemens,AD,-3.853113184546213e-06,0.9981634154165017,130
GE,CovBat,Siemens,RD,-3.315327387487608e-06,0.9966840483187058,130
GE,RELIEF,GE,T2w_CSA,-2.3494599318087808,0.7455733425348251,25
GE,RELIEF,GE,GM_CSA_mm2,-0.5199182682706294,0.8273140860048334,25
GE,RELIEF,GE,MTR,3.3701315907715923,0.9972799566060344,25
GE,RELIEF,GE,MTsat,1.0181881699070159,0.8594990705202468,25
GE,RELIEF,GE,FA,-0.030854306538788623,0.9787791836109165,25
GE,RELIEF,GE,MD,-0.0003785209956459711,0.9993353922419161,25
GE,RELIEF,GE,AD,-0.0006208329012269637,0.9981430125758702,25
GE,RELIEF,GE,RD,-0.00023295450923098226,0.9932284498704705,25
GE,RELIEF,Philips,T2w_CSA,-0.22906309568098493,0.9539033666651636,33
GE,RELIEF,Philips,GM_CSA_mm2,0.04277128201809255,0.9512190083500691,33
GE,RELIEF,Philips,MTR,-0.6539252156240849,0.9780347057858486,33
GE,RELIEF,Philips,MTsat,-0.13505492693334276,0.9770274056930992,33
GE,RELIEF,Philips,FA,0.006764567774159347,0.9928264314319959,33
GE,RELIEF,Philips,MD,5.96969252104531e-05,0.9977664456379314,33
GE,RELIEF,Philips,AD,0.00010221605563166857,0.9976791617966542,33
GE,RELIEF,Philips,RD,3.455616185774318e-05,0.9898992942814581,33
GE,RELIEF,Siemens,T2w_CSA,0.509966003482262,0.9730512775901341,130
GE,RELIEF,Siemens,GM_CSA_mm2,0.08912695692437467,0.9617481256996933,130
GE,RELIEF,Siemens,MTR,-0.48210582810533964,0.9827048691994673,130
GE,RELIEF,Siemens,MTsat,-0.16152224352980804,0.9811081534659339,130
GE,RELIEF,Siemens,FA,0.004216360976326605,0.9946718067013505,130
GE,RELIEF,Siemens,MD,5.7638664301571914e-05,0.9989629835795918,130
GE,RELIEF,Siemens,AD,9.344378996022345e-05,0.9982272716414693,130
GE,RELIEF,Siemens,RD,3.6026995303607744e-05,0.9967427561487341,130
GE,LME,GE,T2w_CSA,-1.408782255339247,0.9999999999999998,25
GE,LME,GE,GM_CSA_mm2,-0.5449503404255314,1.0,25
GE,LME,GE,MTR,4.83147834052064,0.9999999999999998,25
GE,LME,GE,MTsat,1.0289080632292222,0.9999999999999999,25
GE,LME,GE,FA,-0.04373746898685382,1.0,25
GE,LME,GE,MD,-0.00031162383496855905,1.0,25
GE,LME,GE,AD,-0.000642111859761702,1.0,25
GE,LME,GE,RD,-0.00020531010362553182,1.0,25
GE,LME,Philips,T2w_CSA,-0.5011074631756429,1.0,33
GE,LME,Philips,GM_CSA_mm2,0.034804088643195286,1.0,33
GE,LME,Philips,MTR,-0.8361652351238504,0.9999999999999998,33
GE,LME,Philips,MTsat,-0.16905149742450964,0.9999999999999999,33
GE,LME,Philips,FA,0.006630399038037971,1.0,33
GE,LME,Philips,MD,4.891272385089754e-05,1.0,33
GE,LME,Philips,AD,0.00010485919137584693,0.9999999999999999,33
GE,LME,Philips,RD,3.76972950378719e-05,1.0,33
GE,LME,Siemens,T2w_CSA,0.3981238666790574,0.9999999999999999,130
GE,LME,Siemens,GM_CSA_mm2,0.09596325834932884,1.0,130
GE,LME,Siemens,MTR,-0.716873121184058,1.0,130
GE,LME,Siemens,MTsat,-0.15495386281324475,0.9999999999999999,130
GE,LME,Siemens,FA,0.006727950433969898,0.9999999999999998,130
GE,LME,Siemens,MD,4.751135374718722e-05,1.0,130
GE,LME,Siemens,AD,9.686494752799714e-05,1.0,130
GE,LME,Siemens,RD,2.991339887991175e-05,0.9999999999999998,130
Philips,Original,GE,T2w_CSA,-2.1437856578451004,1.0,25
Philips,Original,GE,GM_CSA_mm2,-0.5449503404255331,1.0,25
Philips,Original,GE,MTR,3.311210994255333,1.0,25
Philips,Original,GE,MTsat,1.0289080632292222,1.0,25
Philips,Original,GE,FA,-0.019071677761702044,1.0,25
Philips,Original,GE,MD,-0.0003509106864340426,1.0,25
Philips,Original,GE,AD,-0.000642111859761702,1.0,25
Philips,Original,GE,RD,-0.00020531010362553204,1.0,25
Philips,Original,Philips,T2w_CSA,-2.660653542704125,1.0,33
Philips,Original,Philips,GM_CSA_mm2,-0.8574526434558383,1.0,33
Philips,Original,Philips,MTR,-5.302930118471949,1.0,33
Philips,Original,Philips,MTsat,0.5308915956769784,1.0,33
Philips,Original,Philips,FA,0.07910205366860101,1.0,33
Philips,Original,Philips,MD,-6.65177160219211e-05,1.0,33
Philips,Original,Philips,AD,5.989760336557099e-05,1.0,33
Philips,Original,Philips,RD,-0.0001297253667891684,1.0,33
Philips,Original,Siemens,T2w_CSA,1.0876631411951223,1.0,130
Philips,Original,Siemens,GM_CSA_mm2,0.32245919803600565,1.0,130
Philips,Original,Siemens,MTR,0.7093570696399425,1.0,130
Philips,Original,Siemens,MTsat,-0.332631724908238,1.0,130
Philips,Original,Siemens,FA,-0.016412121746317565,1.0,130
Philips,Original,Siemens,MD,8.436809068903422e-05,1.0,130
Philips,Original,Siemens,AD,0.00010827827371522069,1.0,130
Philips,Original,Siemens,RD,7.241299765139108e-05,1.0,130
Philips,ComBat,GE,T2w_CSA,-0.2646427420660018,0.996750611297775,25
Philips,ComBat,GE,GM_CSA_mm2,-0.029726388957319827,0.9999996271069285,25
Philips,ComBat,GE,MTR,0.11275223030758497,0.9995227817173854,25
Philips,ComBat,GE,MTsat,-0.005905691841282312,0.9999506377348827,25
Philips,ComBat,GE,FA,-0.0006593910546494053,0.9972502162916754,25
Philips,ComBat,GE,MD,9.074743615724093e-06,0.9986042827876832,25
Philips,ComBat,GE,AD,1.1364091832009697e-05,0.9980826976195609,25
Philips,ComBat,GE,RD,7.930067661711588e-06,0.9863816753459587,25
Philips,ComBat,Philips,T2w_CSA,1.4210854715202004e-14,1.0,33
Philips,ComBat,Philips,GM_CSA_mm2,0.0,0.9999999999999999,33
Philips,ComBat,Philips,MTR,7.105427357601002e-15,0.9999999999999999,33
Philips,ComBat,Philips,MTsat,4.440892098500626e-16,0.9999999999999999,33
Philips,ComBat,Philips,FA,1.1102230246251565e-16,1.0,33
Philips,ComBat,Philips,MD,-2.168404344971009e-19,1.0,33
Philips,ComBat,Philips,AD,-2.168404344971009e-19,1.0,33
Philips,ComBat,Philips,RD,-1.0842021724855044e-19,0.9999999999999997,33
Philips,ComBat,Siemens,T2w_CSA,0.050892835012703586,0.9999223402476793,130
Philips,ComBat,Siemens,GM_CSA_mm2,0.0057166132610202425,0.9999974873269619,130
Philips,ComBat,Siemens,MTR,-0.021683121213001755,0.9989801623432087,130
Philips,ComBat,Siemens,MTsat,0.0011357099694770945,0.9999980861312696,130
Philips,ComBat,Siemens,FA,0.00012680597204806077,0.999977212063249,130
Philips,ComBat,Siemens,MD,-1.7451430030239641e-06,0.9999672227542755,130
Philips,ComBat,Siemens,AD,-2.185402275386647e-06,0.9997608929840214,130
Philips,ComBat,Siemens,RD,-1.5250130118676757e-06,0.9999345003678705,130
Philips,ComBat-joint,GE,T2w_CSA,-0.20715470025368177,0.9977605077403463,25
Philips,ComBat-joint,GE,GM_CSA_mm2,-0.027763284737167382,0.9999990198647261,25
Philips,ComBat-joint,GE,MTR,0.2822458780255701,0.9996344147296079,25
Philips,ComBat-joint,GE,MTsat,0.026705111508485757,0.9999646508962073,25
Philips,ComBat-joint,GE,FA,0.00015426393377027114,0.9982157330246297,25
Philips,ComBat-joint,GE,MD,4.5417837731172046e-06,0.9990395534161391,25
Philips,ComBat-joint,GE,AD,-6.126334695002577e-07,0.9985899806326597,25
Philips,ComBat-joint,GE,RD,6.347803366710475e-06,0.9916233808242754,25
Philips,ComBat-joint,Philips,T2w_CSA,-1.4210854715202004e-14,0.9999999999999999,33
Philips,ComBat-joint,Philips,GM_CSA_mm2,0.0,1.0,33
Philips,ComBat-joint,Philips,MTR,0.0,0.9999999999999999,33
Philips,ComBat-joint,Philips,MTsat,-1.3322676295501878e-15,0.9999999999999999,33
Philips,ComBat-joint,Philips,FA,-2.220446049250313e-16,1.0,33
Philips,ComBat-joint,Philips,MD,-4.336808689942018e-19,1.0,33
Philips,ComBat-joint,Philips,AD,4.336808689942018e-19,1.0,33
Philips,ComBat-joint,Philips,RD,-1.0842021724855044e-19,0.9999999999999999,33
Philips,ComBat-joint,Siemens,T2w_CSA,0.0398374423564718,0.9999664718152818,130
Philips,ComBat-joint,Siemens,GM_CSA_mm2,0.005339093218683644,0.9999999804757218,130
Philips,ComBat-joint,Siemens,MTR,-0.05427805346646153,0.9993860575754275,130
Philips,ComBat-joint,Siemens,MTsat,-0.00513559836701738,0.9999992897525632,130
Philips,ComBat-joint,Siemens,FA,-2.966614110977428e-05,0.9999884243201109,130
Philips,ComBat-joint,Siemens,MD,-8.734199563687015e-07,0.9999851862785676,130
Philips,ComBat-joint,Siemens,AD,1.178141287503081e-07,0.9998260717032207,130
Philips,ComBat-joint,Siemens,RD,-1.2207314166751831e-06,0.9999653043981498,130
Philips,CovBat,GE,T2w_CSA,-0.21766692390387732,0.9262950329797142,25
Philips,CovBat,GE,GM_CSA_mm2,-0.020741677009677773,0.9296524934291746,25
Philips,CovBat,GE,MTR,0.276813437398701,0.9936925952383902,25
Philips,CovBat,GE,MTsat,0.026978855019819115,0.9684719525497212,25
Philips,CovBat,GE,FA,-3.0082038737666572e-05,0.9434018344117472,25
Philips,CovBat,GE,MD,3.6544545002224673e-06,0.9704895036603486,25
Philips,CovBat,GE,AD,5.971858294396724e-06,0.9779791632671289,25
Philips,CovBat,GE,RD,2.8062835619399335e-06,0.9842908183085854,25
Philips,CovBat,Philips,T2w_CSA,-0.30969923463095483,0.8780978898454773,33
