fold,method,permanova_F,permanova_R2,permanova_p,n
GE,Original,12.150959119607393,0.11610939089167689,0.0002,188
GE,ComBat,0.030716888517417978,0.000331964233611485,0.9994,188
GE,ComBat-joint,0.05693494667208282,0.0006151343138673148,0.994,188
GE,CovBat,0.17163085597046882,0.0018520323251591004,0.9364,188
GE,RELIEF,3.900235125724003,0.04045877191728178,0.0092,188
GE,LME,5.1538328807462195,0.0527765549872479,0.0012,188
Philips,Original,12.150959119607405,0.11610939089167699,0.0002,188
Philips,ComBat,0.015886831198713126,0.0001717200336381111,0.9994,188
Philips,ComBat-joint,0.024679529477466357,0.0002667345577738932,0.9994,188
Philips,CovBat,0.06359689069070278,0.0006870615752519318,0.9914,188
Philips,RELIEF,16.700638087322226,0.1529353525752072,0.0002,188
Philips,LME,9.393049083773882,0.09218537641415711,0.0002,188
Siemens,Original,12.150959119607405,0.11610939089167699,0.0002,188
Siemens,ComBat,0.00978064248864926,0.0001057254964904449,1.0,188
Siemens,ComBat-joint,0.09784243542973467,0.0010566383930377438,0.9878,188
Siemens,CovBat,0.32166186060033997,0.003465374936762197,0.859,188
Siemens,RELIEF,3.8339578449739813,0.03979861235581956,0.007,188
Siemens,LME,5.229782965232949,0.05351268371376029,0.0014,188
