fold,method,permanova_F,permanova_R2,permanova_p,n
GE,Original,42.474440614363196,0.3146850649725405,0.0001,188
GE,ComBat,0.30461167925813903,0.003282290327455999,0.9713,188
GE,ComBat-joint,0.05343259920158473,0.0005773162345363478,1.0,188
GE,CovBat,0.09231707351929774,0.000997027360769004,0.9996,188
GE,RELIEF,26.76692931958141,0.22442876220832475,0.0001,188
GE,LME,25.692847775720413,0.21738073207673678,0.0001,188
Philips,Original,42.474440614363196,0.3146850649725405,0.0001,188
Philips,ComBat,0.16414301648423768,0.0017713757570178778,0.9981,188
Philips,ComBat-joint,0.01665815241139576,0.0001800557082806992,1.0,188
Philips,CovBat,0.03778986926852428,0.00040837229116787204,1.0,188
Philips,RELIEF,11.245763138123653,0.10839732436255173,0.0001,188
Philips,LME,14.958338367787473,0.13920128111967436,0.0001,188
Siemens,Original,42.47444061436316,0.31468506497254034,0.0001,188
Siemens,ComBat,0.21488871384273692,0.0023177368470556456,0.9927,188
Siemens,ComBat-joint,0.0525963430843034,0.0005682859818360298,1.0,188
Siemens,CovBat,0.15025030277514517,0.001621693436165976,0.9965,188
Siemens,RELIEF,27.12882252658335,0.22677496905526184,0.0001,188
Siemens,LME,30.161619942944625,0.24589288774250767,0.0001,188
