fold,method,permanova_R2,mean_eta2_dim,abs_diff
GE,Original,0.3146850649725405,0.3146850649725405,0.0
GE,ComBat,0.003282290327455999,0.0032822903274559853,1.3877787807814457e-17
GE,ComBat-joint,0.0005773162345363478,0.0005773162345364504,1.0256552551712872e-16
GE,CovBat,0.000997027360769004,0.0009970273607690506,4.662069341687669e-17
GE,RELIEF,0.22442876220832475,0.22442876220832467,8.326672684688674e-17
GE,LME,0.21738073207673678,0.21738073207673672,5.551115123125783e-17
Philips,Original,0.3146850649725405,0.31468506497254045,5.551115123125783e-17
Philips,ComBat,0.0017713757570178778,0.0017713757570180246,1.468009741545373e-16
Philips,ComBat-joint,0.0001800557082806992,0.00018005570828065844,4.0766001685454967e-17
Philips,CovBat,0.00040837229116787204,0.00040837229116797206,1.0001765041178778e-16
Philips,RELIEF,0.10839732436255173,0.10839732436255176,2.7755575615628914e-17
Philips,LME,0.13920128111967436,0.13920128111967425,1.1102230246251565e-16
Siemens,Original,0.31468506497254034,0.3146850649725405,1.6653345369377348e-16
Siemens,ComBat,0.0023177368470556456,0.0023177368470557206,7.502679033599691e-17
Siemens,ComBat-joint,0.0005682859818360298,0.0005682859818359106,1.1915381875615694e-16
Siemens,CovBat,0.001621693436165976,0.001621693436165941,3.491130995403324e-17
Siemens,RELIEF,0.22677496905526184,0.22677496905526193,8.326672684688674e-17
Siemens,LME,0.24589288774250767,0.24589288774250773,5.551115123125783e-17
