fold,method,vendor_eta2_mean,vendor_eta2_std,r_pre_post_test_mean,age_R2_mean,sex_R2_mean,n_mean
GE,ComBat,0.0002499745976402155,0.00017620644124548382,1.0,0.009085926542533956,0.03362600110732819,188.0
GE,ComBat-joint,0.0005773162345363576,0.0004312737566454155,1.0,0.00889060308063662,0.0336714804679137,188.0
GE,CovBat,0.000997027360769017,0.0006338704472402541,0.851407083819756,0.009034997369281511,0.034800349661687685,188.0
GE,LME,0.21687356410747047,0.2267104267930725,1.0,0.0028337281361058425,0.03221412428567921,188.0
GE,Original,0.3146850649725406,0.19726277723352634,1.0,0.00154899131591478,0.0298143289436259,188.0
GE,RELIEF,0.22442876220832256,0.24158398525482505,0.9248940617456392,0.0027951126741206506,0.032192764787423125,188.0
Philips,ComBat,0.00025283921696791226,0.0002610560848874489,0.9999999999999999,0.008746550500171674,0.03343195434665064,188.0
Philips,ComBat-joint,0.0001800557082806961,0.0001874730954974387,1.0,0.008640194025260783,0.033343177497162854,188.0
Philips,CovBat,0.00040837229116804557,0.00024766932884849623,0.9490031320347413,0.009860216531910437,0.03630212827917775,188.0
Philips,LME,0.13162375929743036,0.13791534224920352,0.9999999999999999,0.008233511972124144,0.03362852806641857,188.0
Philips,Original,0.3146850649725406,0.1972627772335264,0.9999999999999999,0.0015489913159147245,0.029814328943625984,188.0
Philips,RELIEF,0.1083973243625529,0.09570653576295289,0.9725346028563391,0.007889207134422191,0.03519830492591859,188.0
Siemens,ComBat,4.99790958277982e-05,4.53834989515705e-05,1.0,0.008927522481137526,0.03414800568172731,188.0
Siemens,ComBat-joint,0.0005682859818358693,0.0005133192315561869,0.9999999999999999,0.008877702087684097,0.0342833488586657,188.0
Siemens,CovBat,0.0016216934361658654,0.0026672711816779562,0.910819542123562,0.009425500507987405,0.04361880179633591,188.0
Siemens,LME,0.24720154875668876,0.18230712797976256,0.9999999999999999,0.0015065231274784402,0.03000855379841852,188.0
Siemens,Original,0.3146850649725406,0.19726277723352634,0.9999999999999999,0.0015489913159148216,0.029814328943626053,188.0
Siemens,RELIEF,0.22677496905526195,0.12906993096847344,0.9602920103297655,0.0012808206713410542,0.030267514773040266,188.0
