fold,method,biomarker,shift_sd,abs_shift_sd,var_ratio,n_train,n_test,mean_abs_shift_sd,max_abs_shift_sd,centroid_shift_sd
GE,Original,T2w_CSA,-0.34065556045306444,0.34065556045306444,0.8032355245083391,163.0,25.0,,,
GE,Original,GM_CSA_mm2,-0.5345047416107234,0.5345047416107234,0.8526440682010394,163.0,25.0,,,
GE,Original,MTR,0.8725913566914624,0.8725913566914624,2.448690944084112,163.0,25.0,,,
GE,Original,MTsat,1.427305312476776,1.427305312476776,0.651836989170387,163.0,25.0,,,
GE,Original,FA,-0.30870733989390636,0.30870733989390636,0.49984331597233544,163.0,25.0,,,
GE,Original,MD,-2.303292972197411,2.303292972197411,0.7160837436669534,163.0,25.0,,,
GE,Original,AD,-4.721366518260039,4.721366518260039,1.4187160911718177,163.0,25.0,,,
GE,Original,RD,-1.1881831149986088,1.1881831149986088,0.42978997190200197,163.0,25.0,,,
GE,Original,,,,,,,1.4620758645727487,4.721366518260039,5.683651758549436
GE,ComBat,T2w_CSA,2.0130094892763953e-15,2.0130094892763953e-15,1.0,163.0,25.0,,,
GE,ComBat,GM_CSA_mm2,-3.3274436562904147e-15,3.3274436562904147e-15,0.9999999999999998,163.0,25.0,,,
GE,ComBat,MTR,1.960599548421602e-15,1.960599548421602e-15,1.0000000000000002,163.0,25.0,,,
GE,ComBat,MTsat,-5.923169384148896e-16,5.923169384148896e-16,1.0000000000000002,163.0,25.0,,,
GE,ComBat,FA,0.0,0.0,0.9999999999999998,163.0,25.0,,,
GE,ComBat,MD,0.0,0.0,1.0,163.0,25.0,,,
GE,ComBat,AD,0.0,0.0,0.9999999999999997,163.0,25.0,,,
GE,ComBat,RD,0.0,0.0,1.0,163.0,25.0,,,
GE,ComBat,,,,,,,9.866712040504127e-16,3.3274436562904147e-15,4.395324610823223e-15
GE,ComBat-joint,T2w_CSA,0.0,0.0,1.0,163.0,25.0,,,
GE,ComBat-joint,GM_CSA_mm2,-1.6618941597330182e-15,1.6618941597330182e-15,1.0,163.0,25.0,,,
GE,ComBat-joint,MTR,0.0,0.0,1.0,163.0,25.0,,,
GE,ComBat-joint,MTsat,0.0,0.0,1.0000000000000002,163.0,25.0,,,
GE,ComBat-joint,FA,0.0,0.0,1.0,163.0,25.0,,,
GE,ComBat-joint,MD,0.0,0.0,1.0000000000000002,163.0,25.0,,,
GE,ComBat-joint,AD,0.0,0.0,1.0,163.0,25.0,,,
GE,ComBat-joint,RD,-6.006705214635908e-16,6.006705214635908e-16,1.0,163.0,25.0,,,
GE,ComBat-joint,,,,,,,2.8282058514957613e-16,1.6618941597330182e-15,1.7671155235326458e-15
GE,CovBat,T2w_CSA,-0.0217369561940897,0.0217369561940897,0.7682103607879138,163.0,25.0,,,
GE,CovBat,GM_CSA_mm2,-0.031361401823750065,0.031361401823750065,0.7436854124120577,163.0,25.0,,,
GE,CovBat,MTR,-0.00862022150253122,0.00862022150253122,1.4351287564126909,163.0,25.0,,,
GE,CovBat,MTsat,-0.0056703047974508486,0.0056703047974508486,0.8198035817019887,163.0,25.0,,,
GE,CovBat,FA,-0.018545715525195548,0.018545715525195548,0.6391508522875783,163.0,25.0,,,
GE,CovBat,MD,0.05751385123972295,0.05751385123972295,1.0193227617261795,163.0,25.0,,,
GE,CovBat,AD,0.07510775258125973,0.07510775258125973,1.2046901632745075,163.0,25.0,,,
GE,CovBat,RD,0.04887361976734932,0.04887361976734932,0.8791942032231211,163.0,25.0,,,
GE,CovBat,,,,,,,0.03342872792891867,0.07510775258125973,0.11508294930145303
GE,RELIEF,T2w_CSA,-0.39311241949050746,0.39311241949050746,0.8210769528668841,163.0,25.0,,,
GE,RELIEF,GM_CSA_mm2,-0.5849465438200967,0.5849465438200967,1.2305226304943844,163.0,25.0,,,
GE,RELIEF,MTR,1.116333700735009,1.116333700735009,2.6737334948753713,163.0,25.0,,,
GE,RELIEF,MTsat,1.6455769043723145,1.6455769043723145,0.9233124433533351,163.0,25.0,,,
GE,RELIEF,FA,-0.5959083555572354,0.5959083555572354,0.5233122093544628,163.0,25.0,,,
GE,RELIEF,MD,-2.653884493853676,2.653884493853676,0.830655154345281,163.0,25.0,,,
GE,RELIEF,AD,-4.6383576099444905,4.6383576099444905,1.35427594220113,163.0,25.0,,,
GE,RELIEF,RD,-1.4945899027771532,1.4945899027771532,0.5733321103313272,163.0,25.0,,,
GE,RELIEF,,,,,,,1.6403387413188104,4.6383576099444905,5.9663384150782415
GE,LME,T2w_CSA,-0.22857613758790868,0.22857613758790868,0.8201547484611276,163.0,25.0,,,
GE,LME,GM_CSA_mm2,-0.584282117855906,0.584282117855906,0.9320491347644653,163.0,25.0,,,
GE,LME,MTR,1.5288597602621379,1.5288597602621379,2.9403398971150008,163.0,25.0,,,
GE,LME,MTsat,1.571599279546201,1.571599279546201,0.7177346946071944,163.0,25.0,,,
GE,LME,FA,-0.8413387259789051,0.8413387259789051,0.5940090554412201,163.0,25.0,,,
GE,LME,MD,-2.180154425162309,2.180154425162309,0.7632517613074141,163.0,25.0,,,
GE,LME,AD,-4.757260194775218,4.757260194775218,1.4295017262726841,163.0,25.0,,,
GE,LME,RD,-1.3017587338781949,1.3017587338781949,0.4708725806605576,163.0,25.0,,,
GE,LME,,,,,,,1.6242286718808474,4.757260194775218,5.9150649732143465
Philips,Original,T2w_CSA,-0.4446055043745966,0.4446055043745966,0.8027051067221243,155.0,33.0,,,
Philips,Original,GM_CSA_mm2,-0.9725463073023211,0.9725463073023211,1.1824650795469347,155.0,33.0,,,
Philips,Original,MTR,-1.2239371368115877,1.2239371368115877,0.9499229618181656,155.0,33.0,,,
Philips,Original,MTsat,0.7974441400298262,0.7974441400298262,1.347245112803291,155.0,33.0,,,
Philips,Original,FA,1.6257587384874688,1.6257587384874688,0.8293572487580053,155.0,33.0,,,
Philips,Original,MD,-0.34689080974373016,0.34689080974373016,0.4956549649928758,155.0,33.0,,,
Philips,Original,AD,0.22565931191168256,0.22565931191168256,0.5373538052109791,155.0,33.0,,,
Philips,Original,RD,-0.7489126810121336,0.7489126810121336,0.5010979263686123,155.0,33.0,,,
Philips,Original,,,,,,,0.7982193287091683,1.6257587384874688,2.579278326235517
Philips,ComBat,T2w_CSA,0.0,0.0,1.0,155.0,33.0,,,
Philips,ComBat,GM_CSA_mm2,0.0,0.0,0.9999999999999998,155.0,33.0,,,
Philips,ComBat,MTR,1.3931417152525028e-15,1.3931417152525028e-15,0.9999999999999998,155.0,33.0,,,
Philips,ComBat,MTsat,7.073592796830141e-16,7.073592796830141e-16,1.0,155.0,33.0,,,
Philips,ComBat,FA,0.0,0.0,1.0,155.0,33.0,,,
Philips,ComBat,MD,-1.2982780096940111e-15,1.2982780096940111e-15,1.0,155.0,33.0,,,
Philips,ComBat,AD,-1.324821817744867e-15,1.324821817744867e-15,1.0000000000000002,155.0,33.0,,,
Philips,ComBat,RD,-5.964798665819235e-16,5.964798665819235e-16,1.0,155.0,33.0,,,
Philips,ComBat,,,,,,,6.650100861195398e-16,1.3931417152525028e-15,2.497532354103907e-15
Philips,ComBat-joint,T2w_CSA,0.0,0.0,1.0,155.0,33.0,,,
Philips,ComBat-joint,GM_CSA_mm2,1.7406099515556476e-15,1.7406099515556476e-15,1.0,155.0,33.0,,,
Philips,ComBat-joint,MTR,0.0,0.0,1.0,155.0,33.0,,,
Philips,ComBat-joint,MTsat,0.0,0.0,1.0000000000000002,155.0,33.0,,,
Philips,ComBat-joint,FA,-1.8972417179555002e-15,1.8972417179555002e-15,0.9999999999999999,155.0,33.0,,,
Philips,ComBat-joint,MD,-2.5848230489429764e-15,2.5848230489429764e-15,1.0,155.0,33.0,,,
Philips,ComBat-joint,AD,-1.3316064222181014e-15,1.3316064222181014e-15,1.0000000000000002,155.0,33.0,,,
Philips,ComBat-joint,RD,0.0,0.0,1.0,155.0,33.0,,,
Philips,ComBat-joint,,,,,,,9.442851425840282e-16,2.5848230489429764e-15,3.883778443454859e-15
Philips,CovBat,T2w_CSA,-0.054755220961349924,0.054755220961349924,0.8801717490436902,155.0,33.0,,,
Philips,CovBat,GM_CSA_mm2,-0.0453686249232929,0.0453686249232929,0.9931718547233354,155.0,33.0,,,
Philips,CovBat,MTR,-0.0054246956587101075,0.0054246956587101075,0.8330191364182729,155.0,33.0,,,
Philips,CovBat,MTsat,-0.01052093060937314,0.01052093060937314,1.322450911314833,155.0,33.0,,,
Philips,CovBat,FA,-0.016460261898948617,0.016460261898948617,1.0396753801219931,155.0,33.0,,,
Philips,CovBat,MD,0.0365722623511823,0.0365722623511823,0.9870787247995632,155.0,33.0,,,
Philips,CovBat,AD,0.046562111175741404,0.046562111175741404,0.8925346629693006,155.0,33.0,,,
Philips,CovBat,RD,0.030050544384841293,0.030050544384841293,1.0210259718063932,155.0,33.0,,,
Philips,CovBat,,,,,,,0.03071433149542996,0.054755220961349924,0.0993785674281264
Philips,RELIEF,T2w_CSA,-1.0222884475230765,1.0222884475230765,0.9063598916450918,155.0,33.0,,,
Philips,RELIEF,GM_CSA_mm2,-0.48259955564044826,0.48259955564044826,1.0715780966055848,155.0,33.0,,,
Philips,RELIEF,MTR,-1.2804683902919192,1.2804683902919192,1.0663034557246858,155.0,33.0,,,
Philips,RELIEF,MTsat,0.8228426203821907,0.8228426203821907,1.7476633653602451,155.0,33.0,,,
Philips,RELIEF,FA,1.6284584971708742,1.6284584971708742,0.8112719921130944,155.0,33.0,,,
Philips,RELIEF,MD,-0.4870882313695082,0.4870882313695082,0.7111391526315214,155.0,33.0,,,
Philips,RELIEF,AD,0.19922896000712434,0.19922896000712434,0.7642276092640723,155.0,33.0,,,
Philips,RELIEF,RD,-0.8563591832373364,0.8563591832373364,0.7112632846209981,155.0,33.0,,,
Philips,RELIEF,,,,,,,0.8474167357028097,1.6284584971708742,2.693848646242926
Philips,LME,T2w_CSA,-0.4506693079648154,0.4506693079648154,0.8136528931533304,155.0,33.0,,,
Philips,LME,GM_CSA_mm2,-1.019188519723515,1.019188519723515,1.2391747570263185,155.0,33.0,,,
Philips,LME,MTR,-1.2448305871595613,1.2448305871595613,0.9661388013741501,155.0,33.0,,,
Philips,LME,MTsat,0.293027060346691,0.293027060346691,1.7208752570823773,155.0,33.0,,,
Philips,LME,FA,1.6257672575358295,1.6257672575358295,0.829357373056843,155.0,33.0,,,
Philips,LME,MD,0.4124818878836195,0.4124818878836195,0.6852077554546665,155.0,33.0,,,
Philips,LME,AD,2.013384497554521,2.013384497554521,1.0528021622184962,155.0,33.0,,,
Philips,LME,RD,-0.33798180088269164,0.33798180088269164,0.5739937981615291,155.0,33.0,,,
Philips,LME,,,,,,,0.9246663648814055,2.013384497554521,3.139828885294471
Siemens,Original,T2w_CSA,0.6097013150771857,0.6097013150771857,1.2810686033755572,58.0,130.0,,,
Siemens,Original,GM_CSA_mm2,0.9011494947717806,0.9011494947717806,0.8859109486393979,58.0,130.0,,,
Siemens,Original,MTR,0.2556851225228057,0.2556851225228057,0.3603186204587287,58.0,130.0,,,
Siemens,Original,MTsat,-1.1694779732631089,1.1694779732631089,0.7049723640945011,58.0,130.0,,,
Siemens,Original,FA,-0.8127641071176586,0.8127641071176586,0.9566210699038832,58.0,130.0,,,
Siemens,Original,MD,1.4763721827512994,1.4763721827512994,0.94799272667255,58.0,130.0,,,
Siemens,Original,AD,0.8756914306857042,0.8756914306857042,0.3783758391407159,58.0,130.0,,,
Siemens,Original,RD,2.265161591633435,2.265161591633435,1.9007794087775292,58.0,130.0,,,
Siemens,Original,,,,,,,1.0457504022278723,2.265161591633435,3.3697051133845033
Siemens,ComBat,T2w_CSA,0.0,0.0,1.0,58.0,130.0,,,
Siemens,ComBat,GM_CSA_mm2,0.0,0.0,0.9999999999999998,58.0,130.0,,,
Siemens,ComBat,MTR,0.0,0.0,0.9999999999999999,58.0,130.0,,,
Siemens,ComBat,MTsat,0.0,0.0,1.0,58.0,130.0,,,
Siemens,ComBat,FA,2.6143695841937802e-15,2.6143695841937802e-15,1.0,58.0,130.0,,,
Siemens,ComBat,MD,0.0,0.0,1.0,58.0,130.0,,,
Siemens,ComBat,AD,2.2711402222750366e-15,2.2711402222750366e-15,1.0000000000000002,58.0,130.0,,,
Siemens,ComBat,RD,0.0,0.0,1.0,58.0,130.0,,,
Siemens,ComBat,,,,,,,6.106887258086021e-16,2.6143695841937802e-15,3.463092004552155e-15
Siemens,ComBat-joint,T2w_CSA,0.0,0.0,0.9999999999999997,58.0,130.0,,,
Siemens,ComBat-joint,GM_CSA_mm2,0.0,0.0,0.9999999999999998,58.0,130.0,,,
Siemens,ComBat-joint,MTR,9.676932024702031e-16,9.676932024702031e-16,0.9999999999999999,58.0,130.0,,,
Siemens,ComBat-joint,MTsat,1.0474233476279504e-15,1.0474233476279504e-15,1.0000000000000002,58.0,130.0,,,
Siemens,ComBat-joint,FA,0.0,0.0,1.0000000000000002,58.0,130.0,,,
Siemens,ComBat-joint,MD,0.0,0.0,1.0,58.0,130.0,,,
