subject,site,vendor,field_strength,n_slices_t2star,SC_CSA_t2star,GM_CSA_t2star,WM_CSA_t2star,GM_WM_ratio_t2star,GM_SC_frac_t2star,voxel_dx,voxel_dy,voxel_dz,SC_CSA_t2w,n_slices_t2w
sub-amu01,amu,Siemens,3T,15.0,81.0333,15.0667,66.1667,0.2277,0.1859,0.5,0.5,5.0,78.43036499003503,1.0
sub-amu02,amu,Siemens,3T,15.0,80.45,14.8167,65.7333,0.2254,0.1842,0.5,0.5,5.0,73.65779499049526,1.0
sub-amu03,amu,Siemens,3T,15.0,75.0333,11.35,63.8167,0.1779,0.1513,0.5,0.5,5.0,71.81425282620869,1.0
sub-amu04,amu,Siemens,3T,15.0,71.7333,14.6833,57.15,0.2569,0.2047,0.5,0.5,5.0,64.2392960783709,1.0
sub-amu05,amu,Siemens,3T,15.0,80.3,15.2833,65.15,0.2346,0.1903,0.5,0.5,5.0,74.61366437121491,1.0
sub-balgrist01,balgrist,Siemens,3T,15.0,67.6167,15.7,51.9833,0.302,0.2322,0.5,0.5,5.0,64.72658278150308,1.0
sub-balgrist02,balgrist,Siemens,3T,15.0,73.55,14.3,59.5167,0.2403,0.1944,0.5,0.5,5.0,72.20002319265942,1.0
sub-balgrist03,balgrist,Siemens,3T,15.0,67.5333,15.4,52.3,0.2945,0.228,0.5,0.5,5.0,63.65727463210448,1.0
sub-balgrist04,balgrist,Siemens,3T,15.0,71.0667,15.6167,55.7167,0.2803,0.2197,0.5,0.5,5.0,68.09378838714862,1.0
sub-balgrist05,balgrist,Siemens,3T,15.0,76.6,16.6,60.1333,0.2761,0.2167,0.5,0.5,5.0,73.8869778896421,1.0
sub-balgrist06,balgrist,Siemens,3T,15.0,73.2333,15.9833,57.3833,0.2785,0.2183,0.5,0.5,5.0,71.52915978583518,1.0
sub-barcelona01,barcelona,Siemens,3T,15.0,75.6833,15.0333,60.95,0.2467,0.1986,0.5,0.5,5.0,72.11855020550986,1.0
sub-barcelona02,barcelona,Siemens,3T,15.0,87.6333,17.9333,69.8333,0.2568,0.2046,0.5,0.5,5.0,83.67548724283388,1.0
sub-barcelona03,barcelona,Siemens,3T,15.0,77.9833,15.9167,62.4333,0.2549,0.2041,0.5,0.5,5.0,72.39164239360507,1.0
sub-barcelona04,barcelona,Siemens,3T,15.0,88.6833,16.8,71.9833,0.2334,0.1894,0.5,0.5,5.0,82.17562492545812,1.0
sub-barcelona05,barcelona,Siemens,3T,15.0,68.0333,16.1,52.3333,0.3076,0.2366,0.5,0.5,5.0,66.07197903530034,1.0
sub-barcelona06,barcelona,Siemens,3T,15.0,74.75,17.15,57.9,0.2962,0.2294,0.5,0.5,5.0,74.12566614965084,1.0
sub-beijingGE01,beijingGE,GE,3T,15.0,75.1206,17.6477,57.9068,0.3048,0.2349,0.438,0.438,5.0,72.50725556175836,1.0
sub-beijingGE02,beijingGE,GE,3T,15.0,70.6034,16.1036,54.9081,0.2933,0.2281,0.438,0.438,5.0,66.16783767251766,1.0
sub-beijingGE03,beijingGE,GE,3T,15.0,74.776,16.9586,58.4299,0.2902,0.2268,0.438,0.438,5.0,68.23860626289472,1.0
sub-beijingGE04,beijingGE,GE,3T,15.0,74.674,17.2393,58.0471,0.297,0.2309,0.438,0.438,5.0,69.30444525507473,1.0
sub-beijingPrisma01,beijingPrisma,Siemens,3T,15.0,67.1,14.8833,52.5833,0.283,0.2218,0.5,0.5,5.0,64.89363055181788,1.0
sub-beijingPrisma02,beijingPrisma,Siemens,3T,15.0,67.5167,15.8667,51.7833,0.3064,0.235,0.5,0.5,5.0,64.38552647073138,1.0
sub-beijingPrisma03,beijingPrisma,Siemens,3T,15.0,70.5,16.2333,54.4333,0.2982,0.2303,0.5,0.5,5.0,68.86823524671856,1.0
sub-beijingPrisma04,beijingPrisma,Siemens,3T,15.0,69.3167,14.6833,54.6667,0.2686,0.2118,0.5,0.5,5.0,69.56817630211835,1.0
sub-beijingPrisma05,beijingPrisma,Siemens,3T,15.0,75.0167,16.8667,58.2833,0.2894,0.2248,0.5,0.5,5.0,74.81654983084972,1.0
sub-beijingVerio01,beijingVerio,Siemens,3T,15.0,72.5,15.9667,57.0667,0.2798,0.2202,0.5,0.5,5.0,67.33116905905732,1.0
sub-beijingVerio02,beijingVerio,Siemens,3T,15.0,69.7667,15.3333,54.9333,0.2791,0.2198,0.5,0.5,5.0,62.18963015979664,1.0
sub-beijingVerio03,beijingVerio,Siemens,3T,15.0,71.3667,15.9167,55.55,0.2865,0.223,0.5,0.5,5.0,65.34781966924533,1.0
sub-beijingVerio04,beijingVerio,Siemens,3T,15.0,74.7167,16.9167,57.9,0.2922,0.2264,0.5,0.5,5.0,68.79074755614337,1.0
sub-brnoCeitec01,brnoCeitec,Siemens,3T,15.0,74.2667,16.5667,57.9667,0.2858,0.2231,0.5,0.5,5.0,74.45265640954021,1.0
sub-brnoCeitec02,brnoCeitec,Siemens,3T,15.0,77.1,16.65,60.5167,0.2751,0.216,0.5,0.5,5.0,71.77965874440949,1.0
sub-brnoCeitec03,brnoCeitec,Siemens,3T,15.0,72.9,15.0833,57.9167,0.2604,0.2069,0.5,0.5,5.0,71.19841328583254,1.0
sub-brnoCeitec04,brnoCeitec,Siemens,3T,15.0,73.9667,17.0,57.4333,0.296,0.2298,0.5,0.5,5.0,70.77837745254139,1.0
sub-brnoCeitec05,brnoCeitec,Siemens,3T,15.0,79.2167,18.4333,61.1833,0.3013,0.2327,0.5,0.5,5.0,80.90262120921291,1.0
sub-brnoCeitec06,brnoCeitec,Siemens,3T,15.0,75.5167,16.7833,58.9,0.2849,0.2222,0.5,0.5,5.0,76.39073554998033,1.0
sub-brnoUhb01,brnoUhb,Siemens,1.5T,15.0,80.8628,17.2648,63.8786,0.2703,0.2135,0.438,0.438,5.0,75.4613145380809,1.0
sub-brnoUhb02,brnoUhb,Siemens,1.5T,15.0,78.5786,15.4018,63.4576,0.2427,0.196,0.438,0.438,5.0,78.6598994003994,1.0
sub-brnoUhb03,brnoUhb,Siemens,1.5T,15.0,75.4268,15.6826,60.076,0.261,0.2079,0.438,0.438,5.0,70.45912300956384,1.0
sub-brnoUhb04,brnoUhb,Siemens,1.5T,15.0,70.0547,14.8531,55.3802,0.2682,0.212,0.438,0.438,5.0,66.50707581742358,1.0
sub-brnoUhb05,brnoUhb,Siemens,1.5T,15.0,81.6667,18.2474,63.9297,0.2854,0.2234,0.438,0.438,5.0,79.67897584002462,1.0
sub-brnoUhb06,brnoUhb,Siemens,1.5T,15.0,75.0057,15.8612,59.3487,0.2673,0.2115,0.438,0.438,5.0,71.14685699238825,1.0
sub-brnoUhb07,brnoUhb,Siemens,1.5T,15.0,70.9607,15.4273,55.6354,0.2773,0.2174,0.438,0.438,5.0,64.52173246026702,1.0
sub-brnoUhb08,brnoUhb,Siemens,1.5T,15.0,85.2396,16.5758,68.919,0.2405,0.1945,0.438,0.438,5.0,81.67355838229078,1.0
sub-cardiff01,cardiff,Siemens,3T,15.0,87.9,16.0667,71.9,0.2235,0.1828,0.5,0.5,5.0,76.7642573221302,1.0
sub-cardiff02,cardiff,Siemens,3T,15.0,87.4333,18.6333,69.2,0.2693,0.2131,0.5,0.5,5.0,84.39444704095266,1.0
sub-cardiff03,cardiff,Siemens,3T,15.0,77.7167,16.6833,61.3333,0.272,0.2147,0.5,0.5,5.0,75.7974567642396,1.0
sub-cardiff04,cardiff,Siemens,3T,15.0,83.5333,17.85,65.8833,0.2709,0.2137,0.5,0.5,5.0,81.72480640754675,1.0
sub-cardiff05,cardiff,Siemens,3T,15.0,74.5333,17.4167,57.2833,0.304,0.2337,0.5,0.5,5.0,74.43000657181246,1.0
sub-cardiff06,cardiff,Siemens,3T,15.0,79.7333,17.3,62.6333,0.2762,0.217,0.5,0.5,5.0,76.21086109443957,1.0
sub-cmrra01,cmrra,Siemens,3T,15.0,78.1167,16.9333,61.4167,0.2757,0.2168,0.5,0.5,5.0,42.03544931654356,1.0
sub-cmrra02,cmrra,Siemens,3T,15.0,84.2167,17.0,67.4833,0.2519,0.2019,0.5,0.5,5.0,86.12386908144794,1.0
sub-cmrra03,cmrra,Siemens,3T,15.0,70.8667,16.6333,54.4667,0.3054,0.2347,0.5,0.5,5.0,69.89393980684076,1.0
sub-cmrra04,cmrra,Siemens,3T,15.0,75.0167,16.1667,59.0833,0.2736,0.2155,0.5,0.5,5.0,72.85702677603057,1.0
sub-cmrra05,cmrra,Siemens,3T,15.0,68.7167,14.55,54.3,0.268,0.2117,0.5,0.5,5.0,,
