cohort,method,task,repeat,auc
ALL,Original,vendor,0,0.9833933144818228
ALL,Original,vendor,1,0.9852746966538435
ALL,Original,vendor,2,0.9840784163894124
ALL,Original,vendor,3,0.9856890538321865
ALL,Original,vendor,4,0.9860652671705128
ALL,Original,vendor,5,0.9890986090485446
ALL,Original,vendor,6,0.9869574912566709
ALL,Original,vendor,7,0.9887445177019281
ALL,Original,vendor,8,0.9857709556537025
ALL,Original,vendor,9,0.9865857865057004
ALL,Original,vendor,10,0.9849835644612867
ALL,Original,vendor,11,0.9880031001346691
ALL,Original,vendor,12,0.9859112236270359
ALL,Original,vendor,13,0.9872658903874303
ALL,Original,vendor,14,0.9874401638409139
ALL,Original,vendor,15,0.9873932996735784
ALL,Original,vendor,16,0.986202853097983
ALL,Original,vendor,17,0.9823942614056177
ALL,Original,vendor,18,0.9860733282628354
ALL,Original,vendor,19,0.986446192963776
ALL,ComBat,vendor,0,0.7127999738792804
ALL,ComBat,vendor,1,0.7004930002833013
ALL,ComBat,vendor,2,0.6981264783304759
ALL,ComBat,vendor,3,0.7451663419981475
ALL,ComBat,vendor,4,0.67307533360903
ALL,ComBat,vendor,5,0.7041845021710903
ALL,ComBat,vendor,6,0.6988151251448262
ALL,ComBat,vendor,7,0.7097149963381512
ALL,ComBat,vendor,8,0.7001612459403427
ALL,ComBat,vendor,9,0.6890817259253379
ALL,ComBat,vendor,10,0.7045203989034352
ALL,ComBat,vendor,11,0.7014386978505195
ALL,ComBat,vendor,12,0.6937761251923836
ALL,ComBat,vendor,13,0.7110809532659831
ALL,ComBat,vendor,14,0.7368125849552983
ALL,ComBat,vendor,15,0.7093795781416228
ALL,ComBat,vendor,16,0.7105544798225473
ALL,ComBat,vendor,17,0.679461167341822
ALL,ComBat,vendor,18,0.7183581982165771
ALL,ComBat,vendor,19,0.7135057308341123
ALL,ComBat-joint,vendor,0,0.7172542427864768
ALL,ComBat-joint,vendor,1,0.6907370763557049
ALL,ComBat-joint,vendor,2,0.6922767794170608
ALL,ComBat-joint,vendor,3,0.7373134911115637
ALL,ComBat-joint,vendor,4,0.6551393734511167
ALL,ComBat-joint,vendor,5,0.7065545668024903
ALL,ComBat-joint,vendor,6,0.6929008001547019
ALL,ComBat-joint,vendor,7,0.7052487607890953
ALL,ComBat-joint,vendor,8,0.6918780607592061
ALL,ComBat-joint,vendor,9,0.7033904777940355
ALL,ComBat-joint,vendor,10,0.6984355803520338
ALL,ComBat-joint,vendor,11,0.7060692867834044
ALL,ComBat-joint,vendor,12,0.7095461968669013
ALL,ComBat-joint,vendor,13,0.6987625328064045
ALL,ComBat-joint,vendor,14,0.7320435803384169
ALL,ComBat-joint,vendor,15,0.7077823801125925
ALL,ComBat-joint,vendor,16,0.7130846428157932
ALL,ComBat-joint,vendor,17,0.6804112817555263
ALL,ComBat-joint,vendor,18,0.719633813547733
ALL,ComBat-joint,vendor,19,0.712591180537407
ALL,CovBat,vendor,0,0.6475454200740703
ALL,CovBat,vendor,1,0.6264020398567542
ALL,CovBat,vendor,2,0.6359691845929708
ALL,CovBat,vendor,3,0.6352509617313826
ALL,CovBat,vendor,4,0.6259818766483299
ALL,CovBat,vendor,5,0.6151056278998798
ALL,CovBat,vendor,6,0.5937902137741965
ALL,CovBat,vendor,7,0.6548004230969011
ALL,CovBat,vendor,8,0.6094088140605931
ALL,CovBat,vendor,9,0.6395503881922348
ALL,CovBat,vendor,10,0.6367299649156134
ALL,CovBat,vendor,11,0.6268801484910801
ALL,CovBat,vendor,12,0.6588981368975032
ALL,CovBat,vendor,13,0.6056533710483908
ALL,CovBat,vendor,14,0.6400426647728069
ALL,CovBat,vendor,15,0.6158676055480626
ALL,CovBat,vendor,16,0.6242178282355825
ALL,CovBat,vendor,17,0.5830510691694255
ALL,CovBat,vendor,18,0.6654576657175092
ALL,CovBat,vendor,19,0.6343565857179171
ALL,RELIEF,vendor,0,0.7147201926044676
ALL,RELIEF,vendor,1,0.6860940112288382
ALL,RELIEF,vendor,2,0.6851217510926308
ALL,RELIEF,vendor,3,0.7081038770776056
ALL,RELIEF,vendor,4,0.6737257419117951
ALL,RELIEF,vendor,5,0.6893046820286104
ALL,RELIEF,vendor,6,0.6709551958989574
ALL,RELIEF,vendor,7,0.7115594486647119
ALL,RELIEF,vendor,8,0.6633544264179245
ALL,RELIEF,vendor,9,0.6918262849368602
ALL,RELIEF,vendor,10,0.6963731278404577
ALL,RELIEF,vendor,11,0.6966825444547197
ALL,RELIEF,vendor,12,0.7012524698357177
ALL,RELIEF,vendor,13,0.6672362309640315
ALL,RELIEF,vendor,14,0.7009509085127611
ALL,RELIEF,vendor,15,0.6887176055772598
ALL,RELIEF,vendor,16,0.6961583172669213
ALL,RELIEF,vendor,17,0.6479515317906657
ALL,RELIEF,vendor,18,0.7019417924525214
ALL,RELIEF,vendor,19,0.7120814768858864
ALL,LME,vendor,0,0.8328402378630333
ALL,LME,vendor,1,0.8089648822003298
ALL,LME,vendor,2,0.7878565088705858
ALL,LME,vendor,3,0.8268327844907292
ALL,LME,vendor,4,0.7873301983504737
ALL,LME,vendor,5,0.8109164729587744
ALL,LME,vendor,6,0.7984787385956132
ALL,LME,vendor,7,0.7918931234046717
ALL,LME,vendor,8,0.795626301180588
ALL,LME,vendor,9,0.826161573927714
ALL,LME,vendor,10,0.8070871187985252
ALL,LME,vendor,11,0.8263072904076604
ALL,LME,vendor,12,0.8189526480612835
ALL,LME,vendor,13,0.8124178826293426
ALL,LME,vendor,14,0.8167324389947351
ALL,LME,vendor,15,0.8140411835887483
ALL,LME,vendor,16,0.8144199922508322
ALL,LME,vendor,17,0.7902094081085194
ALL,LME,vendor,18,0.8207774057247338
ALL,LME,vendor,19,0.8337329454022133
ALL,Original,pathology,0,0.4823917828319882
ALL,Original,pathology,1,0.487527512839325
ALL,Original,pathology,2,0.49330520909757886
ALL,Original,pathology,3,0.566397652237711
ALL,Original,pathology,4,0.5261371973587674
ALL,Original,pathology,5,0.5067865003668379
ALL,Original,pathology,6,0.5210931768158473
ALL,Original,pathology,7,0.48642699926632427
ALL,Original,pathology,8,0.518892149669846
ALL,Original,pathology,9,0.5307226705796038
ALL,Original,pathology,10,0.5310895084372708
ALL,Original,pathology,11,0.4967901687454145
ALL,Original,pathology,12,0.5543837123991197
ALL,Original,pathology,13,0.4966067498165811
ALL,Original,pathology,14,0.5332905355832722
ALL,Original,pathology,15,0.5082538517975055
ALL,Original,pathology,16,0.5373257520176082
ALL,Original,pathology,17,0.5382428466617756
ALL,Original,pathology,18,0.5375091709464416
ALL,Original,pathology,19,0.5467718268525311
ALL,ComBat,pathology,0,0.6422413793103449
ALL,ComBat,pathology,1,0.6113352898019075
ALL,ComBat,pathology,2,0.6316030814380044
ALL,ComBat,pathology,3,0.6451760821716801
ALL,ComBat,pathology,4,0.6279347028613353
ALL,ComBat,pathology,5,0.580887747615554
ALL,ComBat,pathology,6,0.622340425531915
ALL,ComBat,pathology,7,0.6185803374908291
ALL,ComBat,pathology,8,0.5886830520909758
ALL,ComBat,pathology,9,0.615553925165077
ALL,ComBat,pathology,10,0.6267424798239177
ALL,ComBat,pathology,11,0.6176632428466617
ALL,ComBat,pathology,12,0.6530630961115187
ALL,ComBat,pathology,13,0.6156456346294937
ALL,ComBat,pathology,14,0.6426999266324285
ALL,ComBat,pathology,15,0.6406823184152605
ALL,ComBat,pathology,16,0.6205979457079972
ALL,ComBat,pathology,17,0.6468268525311812
ALL,ComBat,pathology,18,0.6283015407190021
ALL,ComBat,pathology,19,0.6190388848129126
ALL,ComBat-joint,pathology,0,0.6387564196625092
ALL,ComBat-joint,pathology,1,0.6030814380044021
ALL,ComBat-joint,pathology,2,0.6193140132061629
ALL,ComBat-joint,pathology,3,0.6373807776962582
ALL,ComBat-joint,pathology,4,0.6192223037417461
ALL,ComBat-joint,pathology,5,0.5941856199559795
ALL,ComBat-joint,pathology,6,0.6185803374908291
ALL,ComBat-joint,pathology,7,0.6096845194424064
ALL,ComBat-joint,pathology,8,0.5854732208363904
ALL,ComBat-joint,pathology,9,0.6080337490829054
ALL,ComBat-joint,pathology,10,0.6109684519442407
ALL,ComBat-joint,pathology,11,0.6025311812179017
ALL,ComBat-joint,pathology,12,0.6423330887747615
ALL,ComBat-joint,pathology,13,0.6255502567865003
ALL,ComBat-joint,pathology,14,0.6237160674981657
ALL,ComBat-joint,pathology,15,0.6338958180484225
ALL,ComBat-joint,pathology,16,0.6150953778429935
ALL,ComBat-joint,pathology,17,0.6376559060895085
ALL,ComBat-joint,pathology,18,0.6192223037417461
ALL,ComBat-joint,pathology,19,0.6194057226705796
ALL,CovBat,pathology,0,0.5933602347762288
ALL,CovBat,pathology,1,0.5592443140132062
ALL,CovBat,pathology,2,0.5742846661775495
ALL,CovBat,pathology,3,0.6214233308877477
ALL,CovBat,pathology,4,0.5688738077769626
ALL,CovBat,pathology,5,0.5330154071900219
ALL,CovBat,pathology,6,0.5445707997065297
ALL,CovBat,pathology,7,0.5817131327953045
ALL,CovBat,pathology,8,0.5449376375641967
ALL,CovBat,pathology,9,0.5369589141599413
ALL,CovBat,pathology,10,0.5807960381511372
ALL,CovBat,pathology,11,0.6073917828319882
ALL,CovBat,pathology,12,0.61014306676449
ALL,CovBat,pathology,13,0.5665810711665443
ALL,CovBat,pathology,14,0.6473771093176817
ALL,CovBat,pathology,15,0.6022560528246514
ALL,CovBat,pathology,16,0.6202311078503302
