cohort,method,task,auc_mean,auc_sd,auc_pooled,n,lme_fallbacks
ALL,Original,vendor,0.9862,0.0016,0.9867,246,0
ALL,ComBat,vendor,0.7055,0.0162,0.7303,246,0
ALL,ComBat-joint,vendor,0.7036,0.0175,0.7215,246,0
ALL,CovBat,vendor,0.6287,0.0204,0.6507,246,0
ALL,RELIEF,vendor,0.6902,0.0174,0.718,246,0
ALL,LME,vendor,0.8111,0.0145,0.8259,246,418
ALL,Original,pathology,0.52,0.0236,0.5231,246,0
ALL,ComBat,pathology,0.6248,0.0179,0.6355,246,0
ALL,ComBat-joint,pathology,0.6182,0.0149,0.6289,246,0
ALL,CovBat,pathology,0.5823,0.031,0.5899,246,0
ALL,RELIEF,pathology,0.5894,0.0258,0.5986,246,0
ALL,LME,pathology,0.6088,0.0196,0.6164,246,422
ALL,Original,sex,0.6463,0.0203,0.6531,246,0
ALL,ComBat,sex,0.6653,0.0153,0.669,246,0
ALL,ComBat-joint,sex,0.6635,0.0161,0.6673,246,0
ALL,CovBat,sex,0.6615,0.0161,0.6672,246,0
ALL,RELIEF,sex,0.6699,0.0175,0.6759,246,0
ALL,LME,sex,0.6676,0.0141,0.672,246,422
HC,Original,vendor,0.9833,0.0021,0.9841,188,0
HC,ComBat,vendor,0.7506,0.0176,0.7754,188,0
HC,ComBat-joint,vendor,0.7563,0.0153,0.7749,188,0
HC,CovBat,vendor,0.6704,0.0158,0.6977,188,0
HC,RELIEF,vendor,0.7332,0.0127,0.7597,188,0
HC,LME,vendor,0.8505,0.0104,0.8706,188,457
ALL,Permutation,vendor,0.4947,0.0378,,246,0
