method,vendor,auc,hm_se,ci95_lo,ci95_hi,n_pos,n_neg
Original,GE,0.9802,0.0171,0.9466,1.0138,33,213
Original,Philips,0.9867,0.0118,0.9636,1.0099,47,199
Original,Siemens,0.993,0.0047,0.9839,1.0021,166,80
ComBat,GE,0.8025,0.0476,0.7092,0.8959,33,213
ComBat,Philips,0.6661,0.0467,0.5746,0.7576,47,199
ComBat,Siemens,0.7221,0.0325,0.6584,0.7859,166,80
ComBat-joint,GE,0.7661,0.0502,0.6676,0.8646,33,213
ComBat-joint,Philips,0.6694,0.0466,0.5781,0.7608,47,199
ComBat-joint,Siemens,0.7291,0.0321,0.6661,0.7921,166,80
CovBat,GE,0.5847,0.0553,0.4763,0.6932,33,213
CovBat,Philips,0.6984,0.0458,0.6086,0.7881,47,199
CovBat,Siemens,0.669,0.0351,0.6003,0.7377,166,80
RELIEF,GE,0.725,0.0525,0.6222,0.8278,33,213
RELIEF,Philips,0.691,0.046,0.6008,0.7812,47,199
RELIEF,Siemens,0.738,0.0316,0.676,0.8001,166,80
LME,GE,0.9072,0.0354,0.8379,0.9766,33,213
LME,Philips,0.7219,0.0449,0.6339,0.81,47,199
LME,Siemens,0.8486,0.0239,0.8018,0.8954,166,80
