method,task,repeat,auc
Original,vendor,0,0.9833933144818228
Original,vendor,1,0.9852746966538435
Original,vendor,2,0.9840784163894124
Original,vendor,3,0.9856890538321865
Original,vendor,4,0.9860652671705128
Original,vendor,5,0.9890986090485446
Original,vendor,6,0.9869574912566709
Original,vendor,7,0.9887445177019281
Original,vendor,8,0.9857709556537025
Original,vendor,9,0.9865857865057004
Original,vendor,10,0.9849835644612867
Original,vendor,11,0.9880031001346691
Original,vendor,12,0.9859112236270359
Original,vendor,13,0.9872658903874303
Original,vendor,14,0.9874401638409139
Original,vendor,15,0.9873932996735784
Original,vendor,16,0.986202853097983
Original,vendor,17,0.9823942614056177
Original,vendor,18,0.9860733282628354
Original,vendor,19,0.986446192963776
Original,pathology,0,0.4823917828319882
Original,pathology,1,0.487527512839325
Original,pathology,2,0.49330520909757886
Original,pathology,3,0.566397652237711
Original,pathology,4,0.5261371973587674
Original,pathology,5,0.5067865003668379
Original,pathology,6,0.5210931768158473
Original,pathology,7,0.48642699926632427
Original,pathology,8,0.518892149669846
Original,pathology,9,0.5307226705796038
Original,pathology,10,0.5310895084372708
Original,pathology,11,0.4967901687454145
Original,pathology,12,0.5543837123991197
Original,pathology,13,0.4966067498165811
Original,pathology,14,0.5332905355832722
Original,pathology,15,0.5082538517975055
Original,pathology,16,0.5373257520176082
Original,pathology,17,0.5382428466617756
Original,pathology,18,0.5375091709464416
Original,pathology,19,0.5467718268525311
Original,sex,0,0.6665119363395225
Original,sex,1,0.6690981432360743
Original,sex,2,0.6514588859416446
Original,sex,3,0.6480769230769231
Original,sex,4,0.6687665782493369
Original,sex,5,0.6647214854111405
Original,sex,6,0.6661140583554377
Original,sex,7,0.6517241379310346
Original,sex,8,0.6543103448275862
Original,sex,9,0.6439655172413793
Original,sex,10,0.6520557029177717
Original,sex,11,0.6667771883289124
Original,sex,12,0.616710875331565
Original,sex,13,0.6189655172413794
Original,sex,14,0.6166445623342175
Original,sex,15,0.624867374005305
Original,sex,16,0.6059681697612732
Original,sex,17,0.6646551724137931
Original,sex,18,0.6224801061007957
Original,sex,19,0.6515915119363395
ComBat,vendor,0,0.6834530264069301
ComBat,vendor,1,0.6371608194232965
ComBat,vendor,2,0.6312470823536108
ComBat,vendor,3,0.6599619460320171
ComBat,vendor,4,0.6495262027738251
ComBat,vendor,5,0.6543338928899547
ComBat,vendor,6,0.6548907716537955
ComBat,vendor,7,0.6558059462797918
ComBat,vendor,8,0.6561923576039823
ComBat,vendor,9,0.6286001258102457
ComBat,vendor,10,0.6827659662619651
ComBat,vendor,11,0.6769673785353358
ComBat,vendor,12,0.6564860306939094
ComBat,vendor,13,0.6647002086662085
ComBat,vendor,14,0.6722440695178253
ComBat,vendor,15,0.6609112762253636
ComBat,vendor,16,0.6651848771050767
ComBat,vendor,17,0.6211803300671996
ComBat,vendor,18,0.6699997626089836
ComBat,vendor,19,0.7139475061083415
ComBat,pathology,0,0.6274761555392516
ComBat,pathology,1,0.5934519442406456
ComBat,pathology,2,0.6052824651504036
ComBat,pathology,3,0.6409574468085107
ComBat,pathology,4,0.6150953778429934
ComBat,pathology,5,0.6148202494497432
ComBat,pathology,6,0.6140865737344094
ComBat,pathology,7,0.6021643433602347
ComBat,pathology,8,0.586940572267058
ComBat,pathology,9,0.5995047688921497
ComBat,pathology,10,0.6279347028613352
ComBat,pathology,11,0.602439471753485
ComBat,pathology,12,0.631052824651504
ComBat,pathology,13,0.6153705062362436
ComBat,pathology,14,0.6282098312545855
ComBat,pathology,15,0.6269258987527513
ComBat,pathology,16,0.6130777696258254
ComBat,pathology,17,0.5895084372707263
ComBat,pathology,18,0.6269258987527514
ComBat,pathology,19,0.6305025678650036
ComBat,sex,0,0.663262599469496
ComBat,sex,1,0.679575596816976
ComBat,sex,2,0.6716180371352785
ComBat,sex,3,0.6490053050397878
ComBat,sex,4,0.6582228116710875
ComBat,sex,5,0.6891909814323607
ComBat,sex,6,0.6845490716180371
ComBat,sex,7,0.6685676392572945
ComBat,sex,8,0.6824270557029177
ComBat,sex,9,0.6773872679045092
ComBat,sex,10,0.6617374005305039
ComBat,sex,11,0.6744031830238727
ComBat,sex,12,0.6615384615384615
ComBat,sex,13,0.6466180371352784
ComBat,sex,14,0.669893899204244
ComBat,sex,15,0.6452254641909814
ComBat,sex,16,0.6307029177718834
ComBat,sex,17,0.6746021220159152
ComBat,sex,18,0.6608753315649867
ComBat,sex,19,0.6755968169761273
ComBat-joint,vendor,0,0.655948887492384
ComBat-joint,vendor,1,0.6133211629569882
ComBat-joint,vendor,2,0.6110511499197019
ComBat-joint,vendor,3,0.6457142508468918
ComBat-joint,vendor,4,0.6160317017222359
ComBat-joint,vendor,5,0.6145158168387003
ComBat-joint,vendor,6,0.6212257819275906
ComBat-joint,vendor,7,0.6059958146025428
ComBat-joint,vendor,8,0.6238700772862756
ComBat-joint,vendor,9,0.6003062933375198
ComBat-joint,vendor,10,0.6272141547093938
ComBat-joint,vendor,11,0.6570948646838274
ComBat-joint,vendor,12,0.6137609533888563
ComBat-joint,vendor,13,0.6361601049571091
ComBat-joint,vendor,14,0.6218414589552108
ComBat-joint,vendor,15,0.6347385615706425
ComBat-joint,vendor,16,0.6316276777422949
ComBat-joint,vendor,17,0.5912402726471454
ComBat-joint,vendor,18,0.6356828483905699
ComBat-joint,vendor,19,0.6813669885053374
ComBat-joint,pathology,0,0.6235326485693323
ComBat-joint,pathology,1,0.5973037417461482
ComBat-joint,pathology,2,0.6032648569332356
ComBat-joint,pathology,3,0.6532465150403522
ComBat-joint,pathology,4,0.6356382978723405
ComBat-joint,pathology,5,0.615553925165077
ComBat-joint,pathology,6,0.6189471753484961
ComBat-joint,pathology,7,0.6136280264123257
ComBat-joint,pathology,8,0.5846478356566398
ComBat-joint,pathology,9,0.615920763022744
ComBat-joint,pathology,10,0.6259170946441673
ComBat-joint,pathology,11,0.60005502567865
ComBat-joint,pathology,12,0.633070432868672
ComBat-joint,pathology,13,0.6238994864269992
ComBat-joint,pathology,14,0.6504035216434336
ComBat-joint,pathology,15,0.6345377842993396
ComBat-joint,pathology,16,0.6231658107116654
ComBat-joint,pathology,17,0.6112435803374908
ComBat-joint,pathology,18,0.6268341892883347
ComBat-joint,pathology,19,0.6345377842993397
ComBat-joint,sex,0,0.6591511936339522
ComBat-joint,sex,1,0.6799734748010611
ComBat-joint,sex,2,0.6726127320954907
ComBat-joint,sex,3,0.6496684350132625
ComBat-joint,sex,4,0.6537798408488064
ComBat-joint,sex,5,0.6837533156498673
ComBat-joint,sex,6,0.6769893899204243
ComBat-joint,sex,7,0.6712201591511937
ComBat-joint,sex,8,0.6881299734748011
ComBat-joint,sex,9,0.6713527851458886
ComBat-joint,sex,10,0.6620026525198939
ComBat-joint,sex,11,0.6660477453580901
ComBat-joint,sex,12,0.661604774535809
ComBat-joint,sex,13,0.6445623342175066
ComBat-joint,sex,14,0.6700928381962864
ComBat-joint,sex,15,0.6416445623342175
ComBat-joint,sex,16,0.6240053050397879
ComBat-joint,sex,17,0.6714190981432361
ComBat-joint,sex,18,0.6637931034482758
ComBat-joint,sex,19,0.6783819628647215
CovBat,vendor,0,0.5677768718184296
CovBat,vendor,1,0.5085915048462857
CovBat,vendor,2,0.5162647548076474
CovBat,vendor,3,0.5471206366666275
CovBat,vendor,4,0.5178215067099297
CovBat,vendor,5,0.5380174260660351
CovBat,vendor,6,0.5387762654132547
CovBat,vendor,7,0.5328907738967802
CovBat,vendor,8,0.5308832137256646
CovBat,vendor,9,0.5187342436185423
CovBat,vendor,10,0.5670779575886056
CovBat,vendor,11,0.5809351095325527
CovBat,vendor,12,0.5473669366605766
CovBat,vendor,13,0.5529124150223175
CovBat,vendor,14,0.5264185611146606
CovBat,vendor,15,0.5323095037171904
CovBat,vendor,16,0.5342605782435358
CovBat,vendor,17,0.48700616183889966
CovBat,vendor,18,0.5613596118756902
CovBat,vendor,19,0.5870828964184006
CovBat,pathology,0,0.5877659574468085
CovBat,pathology,1,0.5530997798972854
CovBat,pathology,2,0.5874908290535583
CovBat,pathology,3,0.6662692589875275
CovBat,pathology,4,0.6055575935436537
CovBat,pathology,5,0.5674064563462949
CovBat,pathology,6,0.5825385179750551
CovBat,pathology,7,0.5877659574468085
CovBat,pathology,8,0.559611151870873
CovBat,pathology,9,0.5789618488628027
CovBat,pathology,10,0.5688738077769626
CovBat,pathology,11,0.6060161408657373
CovBat,pathology,12,0.6158290535583273
CovBat,pathology,13,0.601063829787234
CovBat,pathology,14,0.6084005869405722
CovBat,pathology,15,0.5799706529713866
CovBat,pathology,16,0.5962949376375641
CovBat,pathology,17,0.6000550256786501
CovBat,pathology,18,0.6081254585473221
CovBat,pathology,19,0.6139948642699926
CovBat,sex,0,0.6786472148541114
CovBat,sex,1,0.6718169761273208
CovBat,sex,2,0.6657161803713528
CovBat,sex,3,0.6442970822281167
CovBat,sex,4,0.6773209549071618
CovBat,sex,5,0.6962864721485411
CovBat,sex,6,0.6753978779840849
CovBat,sex,7,0.6809018567639257
CovBat,sex,8,0.6848143236074271
CovBat,sex,9,0.6722811671087534
CovBat,sex,10,0.6813660477453581
CovBat,sex,11,0.6622679045092839
CovBat,sex,12,0.6504641909814324
CovBat,sex,13,0.6367374005305041
CovBat,sex,14,0.6791777188328912
CovBat,sex,15,0.6470822281167109
CovBat,sex,16,0.631896551724138
CovBat,sex,17,0.6706233421750664
CovBat,sex,18,0.6670424403183024
CovBat,sex,19,0.6781830238726789
RELIEF,vendor,0,0.634023028353124
RELIEF,vendor,1,0.5832501172954622
RELIEF,vendor,2,0.5841416788421433
RELIEF,vendor,3,0.6257138342412117
RELIEF,vendor,4,0.599401013407116
RELIEF,vendor,5,0.6071514859715311
RELIEF,vendor,6,0.6108075803289067
RELIEF,vendor,7,0.6000797216283916
RELIEF,vendor,8,0.606158907590487
RELIEF,vendor,9,0.589819001916445
RELIEF,vendor,10,0.6230528732373162
RELIEF,vendor,11,0.6472975290154516
RELIEF,vendor,12,0.5918361608459721
RELIEF,vendor,13,0.6169069573528347
RELIEF,vendor,14,0.6029990323650082
RELIEF,vendor,15,0.6189338370729104
RELIEF,vendor,16,0.6155749202818686
RELIEF,vendor,17,0.5591880507578707
RELIEF,vendor,18,0.6220033641798016
RELIEF,vendor,19,0.6580990694192527
RELIEF,pathology,0,0.6084005869405723
RELIEF,pathology,1,0.5783198826118856
RELIEF,pathology,2,0.5900586940572268
RELIEF,pathology,3,0.6399486426999267
RELIEF,pathology,4,0.6110601614086573
RELIEF,pathology,5,0.5637380777696258
RELIEF,pathology,6,0.5841892883345561
RELIEF,pathology,7,0.5931768158473955
RELIEF,pathology,8,0.5663059427732943
RELIEF,pathology,9,0.5851063829787234
RELIEF,pathology,10,0.578503301540719
RELIEF,pathology,11,0.5728173147468819
RELIEF,pathology,12,0.6127109317681585
RELIEF,pathology,13,0.6103264856933235
RELIEF,pathology,14,0.6212399119589141
RELIEF,pathology,15,0.6019809244314014
RELIEF,pathology,16,0.6015223771093177
RELIEF,pathology,17,0.5826302274394718
RELIEF,pathology,18,0.5948275862068966
RELIEF,pathology,19,0.6032648569332355
RELIEF,sex,0,0.6742705570291777
RELIEF,sex,1,0.6793103448275863
RELIEF,sex,2,0.6785145888594165
RELIEF,sex,3,0.6597480106100796
RELIEF,sex,4,0.6746684350132627
RELIEF,sex,5,0.698209549071618
RELIEF,sex,6,0.6931034482758621
RELIEF,sex,7,0.6835543766578249
RELIEF,sex,8,0.6883289124668436
RELIEF,sex,9,0.6677055702917771
RELIEF,sex,10,0.6889920424403183
RELIEF,sex,11,0.6750663129973474
RELIEF,sex,12,0.656896551724138
RELIEF,sex,13,0.6336870026525199
RELIEF,sex,14,0.6783819628647215
RELIEF,sex,15,0.6494694960212203
RELIEF,sex,16,0.6350132625994696
RELIEF,sex,17,0.6740716180371352
RELIEF,sex,18,0.6769230769230768
RELIEF,sex,19,0.6725464190981433
LME,vendor,0,0.8145979558906479
LME,vendor,1,0.7855697004561867
LME,vendor,2,0.7858886854135081
LME,vendor,3,0.8211777257650278
LME,vendor,4,0.7778272987799433
LME,vendor,5,0.8026274550555202
LME,vendor,6,0.7821944955734064
LME,vendor,7,0.7848006333457388
LME,vendor,8,0.7928934746261143
LME,vendor,9,0.8022557341414186
LME,vendor,10,0.7971363227300268
LME,vendor,11,0.8231489114737242
LME,vendor,12,0.7952808453951469
LME,vendor,13,0.8023313663742968
LME,vendor,14,0.7963755281776894
LME,vendor,15,0.809348197969148
LME,vendor,16,0.8139697818384067
LME,vendor,17,0.7805646177586415
LME,vendor,18,0.8048235054635794
LME,vendor,19,0.8297689456237816
LME,pathology,0,0.6232575201760822
LME,pathology,1,0.5801540719002201
LME,pathology,2,0.5874908290535583
LME,pathology,3,0.6403154805575936
LME,pathology,4,0.6003301540719002
LME,pathology,5,0.6042736610418195
LME,pathology,6,0.5942773294203962
LME,pathology,7,0.5853815113719736
LME,pathology,8,0.5602531181217901
LME,pathology,9,0.6120689655172413
LME,pathology,10,0.6017975055025679
LME,pathology,11,0.5823550990462215
LME,pathology,12,0.6205979457079971
LME,pathology,13,0.6039985326485694
LME,pathology,14,0.6256419662509171
LME,pathology,15,0.6174798239178283
LME,pathology,16,0.6075752017608217
LME,pathology,17,0.605465884079237
LME,pathology,18,0.6096845194424065
LME,pathology,19,0.6117021276595744
LME,sex,0,0.6655835543766578
LME,sex,1,0.6783819628647215
LME,sex,2,0.665318302387268
LME,sex,3,0.6464854111405836
LME,sex,4,0.6703580901856764
