cohort,method,F,R2,p,N,n_perm,a
HC,Original,42.47444061436316,0.31468506497254034,0.0001,188,9999,3
HC,ComBat,0.03783982730007006,0.00040891193668113633,1.0,188,9999,3
HC,ComBat-joint,0.045452388015734944,0.0004911358348021955,1.0,188,9999,3
HC,CovBat,0.02348209787437148,0.0002537960887543267,1.0,188,9999,3
HC,RELIEF,0.04035199991641554,0.0004360476164652149,1.0,188,9999,3
HC,LME,0.07337977102655771,0.0007926660040721984,1.0,188,9999,3
ALL,Original,61.47864076205021,0.33598807219252713,0.0001,246,9999,3
ALL,ComBat,0.029591775373867802,0.00024349440281641865,1.0,246,9999,3
ALL,ComBat-joint,0.030690184275204146,0.0002525303215892962,1.0,246,9999,3
ALL,CovBat,0.036992775382940046,0.00030437461498909865,1.0,246,9999,3
ALL,RELIEF,0.02802126377959123,0.00023057450856350554,1.0,246,9999,3
ALL,LME,0.027551727500056893,0.00022671177941472763,1.0,246,9999,3
