subject,site,vendor,field_strength,vert_level,SC_CSA
sub-amu01,amu,Siemens,3T,2:3,78.43036499003503
sub-amu02,amu,Siemens,3T,2:3,73.65779499049526
sub-amu03,amu,Siemens,3T,2:3,71.81425282620869
sub-amu04,amu,Siemens,3T,2:3,64.2392960783709
sub-amu05,amu,Siemens,3T,2:3,74.61366437121491
sub-balgrist01,balgrist,Siemens,3T,2:3,64.72658278150308
sub-balgrist02,balgrist,Siemens,3T,2:3,72.20002319265942
sub-balgrist03,balgrist,Siemens,3T,2:3,63.65727463210448
sub-balgrist04,balgrist,Siemens,3T,2:3,68.09378838714862
sub-balgrist05,balgrist,Siemens,3T,2:3,73.8869778896421
sub-balgrist06,balgrist,Siemens,3T,2:3,71.52915978583518
sub-barcelona01,barcelona,Siemens,3T,2:3,72.11855020550986
sub-barcelona02,barcelona,Siemens,3T,2:3,83.67548724283388
sub-barcelona03,barcelona,Siemens,3T,2:3,72.39164239360507
sub-barcelona04,barcelona,Siemens,3T,2:3,82.17562492545812
sub-barcelona05,barcelona,Siemens,3T,2:3,66.07197903530034
sub-barcelona06,barcelona,Siemens,3T,2:3,74.12566614965084
sub-beijingGE01,beijingGE,GE,3T,2:3,72.50725556175836
sub-beijingGE02,beijingGE,GE,3T,2:3,66.16783767251766
sub-beijingGE03,beijingGE,GE,3T,2:3,68.23860626289472
sub-beijingGE04,beijingGE,GE,3T,2:3,69.30444525507473
sub-beijingPrisma01,beijingPrisma,Siemens,3T,2:3,64.89363055181788
sub-beijingPrisma02,beijingPrisma,Siemens,3T,2:3,64.38552647073138
sub-beijingPrisma03,beijingPrisma,Siemens,3T,2:3,68.86823524671856
sub-beijingPrisma04,beijingPrisma,Siemens,3T,2:3,69.56817630211835
sub-beijingPrisma05,beijingPrisma,Siemens,3T,2:3,74.81654983084972
sub-beijingVerio01,beijingVerio,Siemens,3T,2:3,67.33116905905732
sub-beijingVerio02,beijingVerio,Siemens,3T,2:3,62.18963015979664
sub-beijingVerio03,beijingVerio,Siemens,3T,2:3,65.34781966924533
sub-beijingVerio04,beijingVerio,Siemens,3T,2:3,68.79074755614337
sub-brnoCeitec01,brnoCeitec,Siemens,3T,2:3,74.45265640954021
sub-brnoCeitec02,brnoCeitec,Siemens,3T,2:3,71.77965874440949
sub-brnoCeitec03,brnoCeitec,Siemens,3T,2:3,71.19841328583254
sub-brnoCeitec04,brnoCeitec,Siemens,3T,2:3,70.77837745254139
sub-brnoCeitec05,brnoCeitec,Siemens,3T,2:3,80.90262120921291
sub-brnoCeitec06,brnoCeitec,Siemens,3T,2:3,76.39073554998033
sub-brnoUhb01,brnoUhb,Siemens,1.5T,2:3,75.4613145380809
sub-brnoUhb02,brnoUhb,Siemens,1.5T,2:3,78.6598994003994
sub-brnoUhb03,brnoUhb,Siemens,1.5T,2:3,70.45912300956384
sub-brnoUhb04,brnoUhb,Siemens,1.5T,2:3,66.50707581742358
sub-brnoUhb05,brnoUhb,Siemens,1.5T,2:3,79.67897584002462
sub-brnoUhb06,brnoUhb,Siemens,1.5T,2:3,71.14685699238825
sub-brnoUhb07,brnoUhb,Siemens,1.5T,2:3,64.52173246026702
sub-brnoUhb08,brnoUhb,Siemens,1.5T,2:3,81.67355838229078
sub-cardiff01,cardiff,Siemens,3T,2:3,76.7642573221302
sub-cardiff02,cardiff,Siemens,3T,2:3,84.39444704095266
sub-cardiff03,cardiff,Siemens,3T,2:3,75.7974567642396
sub-cardiff04,cardiff,Siemens,3T,2:3,81.72480640754675
sub-cardiff05,cardiff,Siemens,3T,2:3,74.43000657181246
sub-cardiff06,cardiff,Siemens,3T,2:3,76.21086109443957
sub-cmrra01,cmrra,Siemens,3T,2:3,42.03544931654356
sub-cmrra02,cmrra,Siemens,3T,2:3,86.12386908144794
sub-cmrra03,cmrra,Siemens,3T,2:3,69.89393980684076
sub-cmrra04,cmrra,Siemens,3T,2:3,72.85702677603057
sub-cmrra06,cmrra,Siemens,3T,2:3,71.42117452314636
sub-cmrrb01,cmrrb,Siemens,3T,2:3,68.63553676265133
sub-cmrrb02,cmrrb,Siemens,3T,2:3,72.64014998961923
sub-cmrrb03,cmrrb,Siemens,3T,2:3,74.42555622820016
