,SC_CSA_t2star,SC_CSA_t2star,SC_CSA_t2star,SC_CSA_t2star,SC_CSA_t2star,GM_CSA_t2star,GM_CSA_t2star,GM_CSA_t2star,GM_CSA_t2star,GM_CSA_t2star
,count,mean,std,min,max,count,mean,std,min,max
site,,,,,,,,,,
amu,5,77.71,4.13,71.73,81.03,5,14.24,1.63,11.35,15.28
balgrist,6,71.6,3.58,67.53,76.6,6,15.6,0.76,14.3,16.6
barcelona,6,78.79,7.98,68.03,88.68,6,16.49,1.02,15.03,17.93
beijingGE,4,73.79,2.14,70.6,75.12,4,16.99,0.65,16.1,17.65
beijingPrisma,5,69.89,3.18,67.1,75.02,5,15.71,0.92,14.68,16.87
beijingVerio,4,72.09,2.08,69.77,74.72,4,16.03,0.66,15.33,16.92
brnoCeitec,6,75.49,2.32,72.9,79.22,6,16.75,1.07,15.08,18.43
brnoUhb,8,77.22,5.32,70.05,85.24,8,16.16,1.13,14.85,18.25
cardiff,6,81.81,5.4,74.53,87.9,6,17.32,0.89,16.07,18.63
cmrra,6,75.19,5.51,68.72,84.22,6,16.16,0.93,14.55,17.0
cmrrb,7,78.69,2.96,74.07,82.58,7,16.63,0.51,15.67,17.2
dresden,2,78.02,1.23,77.15,78.88,2,15.87,0.99,15.17,16.57
fslAchieva,6,74.46,6.26,65.58,83.63,6,10.3,5.4,3.25,15.8
fslPrisma,5,83.05,4.11,76.43,87.27,5,17.35,0.82,16.55,18.55
