cohort,method,biomarker,n,vendor_F,vendor_p,vendor_eta2,vendor_ICC,age_R2,sex_R2,r_pre_post
HC,Original,T2w_CSA,203,5.6103010030581535,0.0042596307945283,0.0531226684307594,0.0637865858474484,0.0007948484744567,0.1046849916531693,1.0
HC,Original,GM_CSA_mm2,203,21.61249506664539,3.1781919382601064e-09,0.1777160731288478,0.2334921929697875,0.0018109425089642,0.0893709789789694,1.0
HC,Original,MTR,194,18.440317957629382,4.760227436159717e-08,0.1618419036226207,0.2124096754671062,0.0117293561130445,0.0002999389225586,1.0
HC,Original,MTsat,190,47.71378565065893,1.8087442625273802e-17,0.3378833407150165,0.4244889469342129,0.0057076307169664,0.0023253923769482,1.0
HC,Original,FA,198,36.0774845992118,4.666132678261315e-14,0.2700865696599944,0.3470355909458928,0.0002541757753541,0.0044097076375861,1.0
HC,Original,MD,198,59.016486778706486,9.085339408375243e-21,0.3770624296093994,0.4678126939866504,0.0001128998881877,0.000682548275927,1.0
HC,Original,AD,198,160.6123187211183,5.978588118863807e-42,0.6222574711540778,0.707462782289015,0.0002974419169909,7.373823154299686e-06,1.0
HC,Original,RD,198,30.056370926756564,4.187838669728915e-12,0.2356320637564633,0.3056751551050196,2.4003743925749e-05,0.0014976613641083,1.0
HC,ComBat,T2w_CSA,203,0.0479492472764926,0.9531931164521902,0.0004792626699222,-0.014270497396726,9.1154379899816e-07,0.100687263248412,0.9721430008834868
HC,ComBat,GM_CSA_mm2,203,0.0406766895699324,0.9601474439676292,0.0004066015036678,-0.0143810750385756,2.6053186883423507e-06,0.0910085642127429,0.912874469646609
HC,ComBat,MTR,194,0.0354086661614107,0.9652172209698248,0.0003706339529581,-0.0151422277657176,0.0073680857796319,0.0006448449995777,0.8509630229635823
HC,ComBat,MTsat,190,0.0038051553319827,0.9962021522304376,4.069519230432552e-05,-0.0159807599261097,2.7344496270731437e-05,0.0069859316759393,0.7879516488190114
HC,ComBat,FA,198,0.0152578579100987,0.9848591291028652,0.0001564663648055,-0.0151463237174578,0.0007759615182734,0.0131008793263269,0.8320020370275519
HC,ComBat,MD,198,0.0488476551478969,0.9523378498445224,0.0005007507143557,-0.0146221244363093,0.011107070223826,0.0046964007895451,0.7615173026581126
HC,ComBat,AD,198,0.067113428337809,0.9351107192371272,0.0006878693647845,-0.014337297637917,0.0207990314342223,0.0027350535806428,0.5889413303653801
HC,ComBat,RD,198,0.0350805000360665,0.9655337801011626,0.0003596705908911,-0.014836907904856,0.0074117355128145,0.0055629385283652,0.8269780193838668
HC,ComBat-joint,T2w_CSA,188,0.0562808433033608,0.945289803205308,0.0006080715732154,-0.01528959965083,3.974051839261694e-05,0.1217936759585319,0.9746625773781192
HC,ComBat-joint,GM_CSA_mm2,188,0.1041166797014576,0.901172912961158,0.0011243202077243,-0.0145033504800327,1.984076747263419e-05,0.1013030062060907,0.919967603568824
HC,ComBat-joint,MTR,188,0.0633712845187901,0.9386152888556818,0.0006846259339885,-0.0151729813647915,0.0001822994622701,0.0008870961912007,0.8161948065920964
HC,ComBat-joint,MTsat,188,0.0496297131567507,0.9515943824703386,0.0005362497214799,-0.0153990168333229,3.2862554602330896e-05,0.0055927816982309,0.8105997955202697
HC,ComBat-joint,FA,188,0.0335907116173014,0.96697308832777,0.0003630110034526,-0.0156629701308642,0.0008786358693323,0.0135619750297745,0.8455904720161788
HC,ComBat-joint,MD,188,0.0124531954746732,0.9876248525187932,0.0001346110177011,-0.0160110391771573,0.0206057664013477,0.0088287442608965,0.7189886110027953
HC,ComBat-joint,AD,188,0.0262498389085514,0.9740953206380506,0.0002837015328542,-0.0157838244039484,0.0330455389436176,0.0053926031389837,0.5447982092399245
HC,ComBat-joint,RD,188,0.0179943509637064,0.9821682994551596,0.0001944956880003,-0.0159197705367242,0.0146041561205814,0.0100995911886786,0.8193010839768144
HC,CovBat,T2w_CSA,188,0.0344567799290226,0.9661362937839366,0.000372367020114,-0.0156487137694776,4.997713538346105e-06,0.1279117761178295,0.9399123657372508
HC,CovBat,GM_CSA_mm2,188,0.0194882138889891,0.98070246678536,0.0002106390152519,-0.0158951678542713,3.692531601151572e-06,0.1098290148390387,0.8584939234860092
HC,CovBat,MTR,188,0.0390874015538033,0.9616745940463408,0.0004223880162572,-0.0155724958386188,1.3321430472057472e-06,0.0010930883286739,0.7713168250893622
HC,CovBat,MTsat,188,0.0143661391151173,0.9857376610438074,0.0001552854947253,-0.0159795291364267,1.201163167263708e-06,0.0054988782256634,0.7933877942942643
HC,CovBat,FA,188,0.0372404962502717,0.9634516232793844,0.0004024379379649,-0.0156028936904716,0.0003574034587273,0.0122585492570015,0.837696359929258
HC,CovBat,MD,188,0.0087149830705539,0.9913232892735792,9.420715737050792e-05,-0.0160726207185727,0.0221242706108023,0.0089296357785348,0.7162959010942435
HC,CovBat,AD,188,0.0209952215981361,0.9792259765274208,0.0002269238625011,-0.0158703498954968,0.0392787143539419,0.0062183668719721,0.5251350273574759
HC,CovBat,RD,188,0.0135180943077447,0.986573839223424,0.0001461202058488,-0.0159934979039882,0.0146145016579484,0.0097483480654606,0.8146865642828561
HC,RELIEF,T2w_CSA,188,0.1204023401046619,0.8866330790440535,0.0012999548378395,-0.0142359505643315,4.296084978294701e-05,0.1316630992492018,0.9429075478872014
HC,RELIEF,GM_CSA_mm2,188,0.050483362915537,0.9507828397589094,0.0005454683874267,-0.0153849721937798,2.2165349175429228e-05,0.1131718572978467,0.866251819761355
HC,RELIEF,MTR,188,0.0574342609352644,0.9442007868374932,0.0006205256378795,-0.0152706272736203,0.0001843085262723,0.0008968725942795,0.8039654838090604
HC,RELIEF,MTsat,188,0.02910137394726,0.97132243869784,0.0003145105001036,-0.0157368755894829,3.3932525769664323e-05,0.0057748769501961,0.7988046994646236
HC,RELIEF,FA,188,0.0205572798702371,0.9796548180192572,0.0002221914834348,-0.0158775619564048,0.0008878571256073,0.0137043075382732,0.8399899264088716
HC,RELIEF,MD,188,0.0072074288524379,0.9928187611381956,7.79120789910442e-05,-0.0160974575654181,0.0206702389555689,0.0088563681639326,0.7211093699463792
HC,RELIEF,AD,188,0.0328198423449354,0.9677185178549496,0.0003546832615806,-0.0156756597563222,0.0340330205660094,0.0055537473256671,0.5309763970931795
HC,RELIEF,RD,188,0.0049152250322751,0.9950969648657088,5.313474446539364e-05,-0.0161352237845169,0.0147425177152066,0.0101952759739196,0.8212660832598914
HC,LME,T2w_CSA,203,0.0471342086633019,0.9539699528593304,0.000471120027936,-0.0142828886802199,1.7189534479156166e-05,0.1024090788332331,0.9777952956914304
HC,LME,GM_CSA_mm2,203,0.0400094433246771,0.9607880540013451,0.0003999344217109,-0.0143912215786679,8.94448872301723e-07,0.0925665389315354,0.9148270770854674
HC,LME,MTR,194,0.034490256225248,0.9661037686573344,0.0003610241299529,-0.0151568635549816,0.0158409919357075,4.97823830547528e-06,0.9146799697745162
HC,LME,MTsat,190,0.0037345051829458,0.9962725337094556,3.993963666487418e-05,-0.0159819113949644,8.226931788146707e-06,0.00957266271406,0.8103998456903515
HC,LME,FA,198,0.0150267140870573,0.9850867641613488,0.0001540963951239,-0.0151499328031425,0.0002670185650729,0.0136175240710435,0.8497930347693851
HC,LME,MD,198,0.0194466454976773,0.980743122495773,0.0001994130008588,-0.0150809243248184,0.0101811384070725,0.0066376517209295,0.7843134806410648
